date,flu,treating flu,medicine for the flu,high fever,is the flu contagious,get over the flu,medicine for flu,how to get rid of the flu,fever cough,nyc flu,pneumonia,fever flu,normal body,signs of flu,symptoms of the flu,cold or flu,stomach flu,flu 2018,flu game,cold versus flu,incubation period for flu,how long is flu contagious,treating the flu,flu treatments,flu complications,influenza symptoms,contagious flu,how to treat flu,flu fever,type a influenza,cure the flu,flu vs cold,flu contagious period,how long is the flu,signs of the flu,the flu virus,flu cough,flu symptoms,treat flu,ear thermometer,taking temperature,get rid of the flu,over the counter flu,reduce a fever,flu and cold,cold and flu,flu vs. cold,cure flu,human temperature,braun thermoscan,flu length,remedies for flu,how long does flu last,what to do if you have the flu,flu shots,symptoms of flu,treat the flu,over the counter flu medicine,flu report,incubation period for the flu,influenza a and b,having the flu,normal body temperature,flu germs,flu lasts,thermoscan,flu treatment,is flu contagious,flu care,flu children,swine flu,flu shot side effects,cold vs flu,flu how long,flu recovery,flu versus cold,exposed to flu,flu remedies,influenza type a,flu medicine,fever,flu duration,the flu symptoms,flu shot,flu or cold,flu vaccine,cold vs. flu,flu in children,do i have the flu,i have the flu,influenza incubation period,flu season,oscillococcinum,what is the flu,low body,remedies for the flu
2010-50,16.0,3.0,7.0,69.0,10.0,8.0,4.0,8.0,50.0,1.0,54.0,4.0,7.0,5.0,12.0,2.0,34.0,0.0,0.0,0.0,1.0,8.0,4.0,4.0,4.0,7.0,8.0,2.0,15.0,3.0,7.0,10.0,10.0,0.0,6.0,16.0,35.0,17.0,0.0,0.0,0.0,5.0,2.0,5.0,35.0,43.0,0.0,12.0,28.0,0.0,0.0,0.0,20.0,2.0,3.0,17.0,0.0,10.0,20.0,0.0,31.0,14.0,63.0,11.0,6.0,0.0,18.0,3.0,6.0,3.0,13.0,2.0,2.0,13.0,1.0,0.0,1.0,1.0,0.0,1.0,72.0,1.0,4.0,5.0,1.0,10.0,0.0,2.0,2.0,4.0,0.0,9.0,11.0,14.0,56.0,0.0
2010-51,16.0,3.0,7.0,69.0,10.0,8.0,4.0,8.0,50.0,1.0,54.0,4.0,7.0,5.0,12.0,2.0,34.0,0.0,0.0,0.0,1.0,8.0,4.0,4.0,4.0,7.0,8.0,2.0,15.0,3.0,7.0,10.0,10.0,0.0,6.0,16.0,35.0,17.0,0.0,0.0,0.0,5.0,2.0,5.0,35.0,43.0,0.0,12.0,28.0,0.0,0.0,0.0,20.0,2.0,3.0,17.0,0.0,10.0,20.0,0.0,31.0,14.0,63.0,11.0,6.0,0.0,18.0,3.0,6.0,3.0,13.0,2.0,2.0,13.0,1.0,0.0,1.0,1.0,0.0,1.0,72.0,1.0,4.0,5.0,1.0,10.0,0.0,2.0,2.0,4.0,0.0,9.0,11.0,14.0,56.0,0.0
2010-52,16.0,3.0,7.0,69.0,10.0,8.0,4.0,8.0,50.0,1.0,54.0,4.0,7.0,5.0,12.0,2.0,34.0,0.0,0.0,0.0,1.0,8.0,4.0,4.0,4.0,7.0,8.0,2.0,15.0,3.0,7.0,10.0,10.0,0.0,6.0,16.0,35.0,17.0,0.0,0.0,0.0,5.0,2.0,5.0,35.0,43.0,0.0,12.0,28.0,0.0,0.0,0.0,20.0,2.0,3.0,17.0,0.0,10.0,20.0,0.0,31.0,14.0,63.0,11.0,6.0,0.0,18.0,3.0,6.0,3.0,13.0,2.0,2.0,13.0,1.0,0.0,1.0,1.0,0.0,1.0,72.0,1.0,4.0,5.0,1.0,10.0,0.0,2.0,2.0,4.0,0.0,9.0,11.0,14.0,56.0,0.0
2011-01,16.0,3.0,7.0,69.0,10.0,8.0,4.0,8.0,50.0,1.0,54.0,4.0,7.0,5.0,12.0,2.0,34.0,0.0,0.0,0.0,1.0,8.0,4.0,4.0,4.0,7.0,8.0,2.0,15.0,3.0,7.0,10.0,10.0,0.0,6.0,16.0,35.0,17.0,0.0,0.0,0.0,5.0,2.0,5.0,35.0,43.0,0.0,12.0,28.0,0.0,0.0,0.0,20.0,2.0,3.0,17.0,0.0,10.0,20.0,0.0,31.0,14.0,63.0,11.0,6.0,0.0,18.0,3.0,6.0,3.0,13.0,2.0,2.0,13.0,1.0,0.0,1.0,1.0,0.0,1.0,72.0,1.0,4.0,5.0,1.0,10.0,0.0,2.0,2.0,4.0,0.0,9.0,11.0,14.0,56.0,0.0
2011-02,16.0,3.0,7.0,69.0,10.0,8.0,4.0,8.0,50.0,1.0,54.0,4.0,7.0,5.0,12.0,2.0,34.0,0.0,0.0,0.0,1.0,8.0,4.0,4.0,4.0,7.0,8.0,2.0,15.0,3.0,7.0,10.0,10.0,0.0,6.0,16.0,35.0,17.0,0.0,0.0,0.0,5.0,2.0,5.0,35.0,43.0,0.0,12.0,28.0,0.0,0.0,0.0,20.0,2.0,3.0,17.0,0.0,10.0,20.0,0.0,31.0,14.0,63.0,11.0,6.0,0.0,18.0,3.0,6.0,3.0,13.0,2.0,2.0,13.0,1.0,0.0,1.0,1.0,0.0,1.0,72.0,1.0,4.0,5.0,1.0,10.0,0.0,2.0,2.0,4.0,0.0,9.0,11.0,14.0,56.0,0.0
2011-03,16.0,3.0,7.0,69.0,10.0,8.0,4.0,8.0,50.0,1.0,54.0,4.0,7.0,5.0,12.0,2.0,34.0,0.0,0.0,0.0,1.0,8.0,4.0,4.0,4.0,7.0,8.0,2.0,15.0,3.0,7.0,10.0,10.0,0.0,6.0,16.0,35.0,17.0,0.0,0.0,0.0,5.0,2.0,5.0,35.0,43.0,0.0,12.0,28.0,0.0,0.0,0.0,20.0,2.0,3.0,17.0,0.0,10.0,20.0,0.0,31.0,14.0,63.0,11.0,6.0,0.0,18.0,3.0,6.0,3.0,13.0,2.0,2.0,13.0,1.0,0.0,1.0,1.0,0.0,1.0,72.0,1.0,4.0,5.0,1.0,10.0,0.0,2.0,2.0,4.0,0.0,9.0,11.0,14.0,56.0,0.0
2011-04,16.0,3.0,7.0,69.0,10.0,8.0,4.0,8.0,50.0,1.0,54.0,4.0,7.0,5.0,12.0,2.0,34.0,0.0,0.0,0.0,1.0,8.0,4.0,4.0,4.0,7.0,8.0,2.0,15.0,3.0,7.0,10.0,10.0,0.0,6.0,16.0,35.0,17.0,0.0,0.0,0.0,5.0,2.0,5.0,35.0,43.0,0.0,12.0,28.0,0.0,0.0,0.0,20.0,2.0,3.0,17.0,0.0,10.0,20.0,0.0,31.0,14.0,63.0,11.0,6.0,0.0,18.0,3.0,6.0,3.0,13.0,2.0,2.0,13.0,1.0,0.0,1.0,1.0,0.0,1.0,72.0,1.0,4.0,5.0,1.0,10.0,0.0,2.0,2.0,4.0,0.0,9.0,11.0,14.0,56.0,0.0
2011-05,16.0,3.0,7.0,69.0,10.0,8.0,4.0,8.0,50.0,1.0,54.0,4.0,7.0,5.0,12.0,2.0,34.0,0.0,0.0,0.0,1.0,8.0,4.0,4.0,4.0,7.0,8.0,2.0,15.0,3.0,7.0,10.0,10.0,0.0,6.0,16.0,35.0,17.0,0.0,0.0,0.0,5.0,2.0,5.0,35.0,43.0,0.0,12.0,28.0,0.0,0.0,0.0,20.0,2.0,3.0,17.0,0.0,10.0,20.0,0.0,31.0,14.0,63.0,11.0,6.0,0.0,18.0,3.0,6.0,3.0,13.0,2.0,2.0,13.0,1.0,0.0,1.0,1.0,0.0,1.0,72.0,1.0,4.0,5.0,1.0,10.0,0.0,2.0,2.0,4.0,0.0,9.0,11.0,14.0,56.0,0.0
2011-06,10.0,0.0,3.0,60.0,6.0,3.0,14.0,3.0,24.0,1.0,44.0,2.0,7.0,3.0,5.0,2.0,35.0,0.0,0.0,0.0,1.0,9.0,0.0,4.0,4.0,5.0,7.0,4.0,10.0,3.0,0.0,6.0,0.0,6.0,11.0,3.0,6.0,11.0,0.0,0.0,0.0,5.0,2.0,2.0,17.0,19.0,0.0,2.0,8.0,0.0,0.0,5.0,13.0,1.0,3.0,8.0,2.0,0.0,9.0,0.0,9.0,10.0,85.0,0.0,0.0,11.0,13.0,16.0,5.0,2.0,8.0,2.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,64.0,0.0,3.0,3.0,0.0,4.0,0.0,5.0,1.0,3.0,1.0,5.0,5.0,26.0,57.0,4.0
2011-07,10.0,0.0,3.0,60.0,6.0,3.0,14.0,3.0,24.0,1.0,44.0,2.0,7.0,3.0,5.0,2.0,35.0,0.0,0.0,0.0,1.0,9.0,0.0,4.0,4.0,5.0,7.0,4.0,10.0,3.0,0.0,6.0,0.0,6.0,11.0,3.0,6.0,11.0,0.0,0.0,0.0,5.0,2.0,2.0,17.0,19.0,0.0,2.0,8.0,0.0,0.0,5.0,13.0,1.0,3.0,8.0,2.0,0.0,9.0,0.0,9.0,10.0,85.0,0.0,0.0,11.0,13.0,16.0,5.0,2.0,8.0,2.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,64.0,0.0,3.0,3.0,0.0,4.0,0.0,5.0,1.0,3.0,1.0,5.0,5.0,26.0,57.0,4.0
2011-08,10.0,0.0,3.0,60.0,6.0,3.0,14.0,3.0,24.0,1.0,44.0,2.0,7.0,3.0,5.0,2.0,35.0,0.0,0.0,0.0,1.0,9.0,0.0,4.0,4.0,5.0,7.0,4.0,10.0,3.0,0.0,6.0,0.0,6.0,11.0,3.0,6.0,11.0,0.0,0.0,0.0,5.0,2.0,2.0,17.0,19.0,0.0,2.0,8.0,0.0,0.0,5.0,13.0,1.0,3.0,8.0,2.0,0.0,9.0,0.0,9.0,10.0,85.0,0.0,0.0,11.0,13.0,16.0,5.0,2.0,8.0,2.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,64.0,0.0,3.0,3.0,0.0,4.0,0.0,5.0,1.0,3.0,1.0,5.0,5.0,26.0,57.0,4.0
2011-09,10.0,0.0,3.0,60.0,6.0,3.0,14.0,3.0,24.0,1.0,44.0,2.0,7.0,3.0,5.0,2.0,35.0,0.0,0.0,0.0,1.0,9.0,0.0,4.0,4.0,5.0,7.0,4.0,10.0,3.0,0.0,6.0,0.0,6.0,11.0,3.0,6.0,11.0,0.0,0.0,0.0,5.0,2.0,2.0,17.0,19.0,0.0,2.0,8.0,0.0,0.0,5.0,13.0,1.0,3.0,8.0,2.0,0.0,9.0,0.0,9.0,10.0,85.0,0.0,0.0,11.0,13.0,16.0,5.0,2.0,8.0,2.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,64.0,0.0,3.0,3.0,0.0,4.0,0.0,5.0,1.0,3.0,1.0,5.0,5.0,26.0,57.0,4.0
2011-10,6.0,0.0,5.0,58.0,10.0,0.0,7.0,4.0,22.0,1.0,42.0,1.0,4.0,2.0,4.0,2.0,22.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,4.0,2.0,2.0,2.0,4.0,0.0,6.0,0.0,0.0,3.0,3.0,9.0,12.0,6.0,0.0,0.0,0.0,3.0,2.0,4.0,11.0,13.0,0.0,2.0,4.0,2.0,0.0,0.0,12.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,10.0,5.0,51.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,8.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,60.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,2.0,8.0,0.0,4.0,4.0,2.0,54.0,0.0
2011-11,6.0,0.0,5.0,58.0,10.0,0.0,7.0,4.0,22.0,1.0,42.0,1.0,4.0,2.0,4.0,2.0,22.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,4.0,2.0,2.0,2.0,4.0,0.0,6.0,0.0,0.0,3.0,3.0,9.0,12.0,6.0,0.0,0.0,0.0,3.0,2.0,4.0,11.0,13.0,0.0,2.0,4.0,2.0,0.0,0.0,12.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,10.0,5.0,51.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,8.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,60.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,2.0,8.0,0.0,4.0,4.0,2.0,54.0,0.0
2011-12,6.0,0.0,5.0,58.0,10.0,0.0,7.0,4.0,22.0,1.0,42.0,1.0,4.0,2.0,4.0,2.0,22.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,4.0,2.0,2.0,2.0,4.0,0.0,6.0,0.0,0.0,3.0,3.0,9.0,12.0,6.0,0.0,0.0,0.0,3.0,2.0,4.0,11.0,13.0,0.0,2.0,4.0,2.0,0.0,0.0,12.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,10.0,5.0,51.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,8.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,60.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,2.0,8.0,0.0,4.0,4.0,2.0,54.0,0.0
2011-13,6.0,0.0,5.0,58.0,10.0,0.0,7.0,4.0,22.0,1.0,42.0,1.0,4.0,2.0,4.0,2.0,22.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,4.0,2.0,2.0,2.0,4.0,0.0,6.0,0.0,0.0,3.0,3.0,9.0,12.0,6.0,0.0,0.0,0.0,3.0,2.0,4.0,11.0,13.0,0.0,2.0,4.0,2.0,0.0,0.0,12.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,10.0,5.0,51.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,8.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,60.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,2.0,8.0,0.0,4.0,4.0,2.0,54.0,0.0
2011-14,5.0,0.0,3.0,41.0,3.0,0.0,0.0,0.0,11.0,0.0,32.0,2.0,5.0,2.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,3.0,2.0,1.0,8.0,0.0,3.0,0.0,0.0,6.0,0.0,3.0,12.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,8.0,6.0,0.0,2.0,4.0,2.0,0.0,5.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,47.0,0.0,0.0,8.0,6.0,6.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,53.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,29.0,2.0
2011-15,5.0,0.0,3.0,41.0,3.0,0.0,0.0,0.0,11.0,0.0,32.0,2.0,5.0,2.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,3.0,2.0,1.0,8.0,0.0,3.0,0.0,0.0,6.0,0.0,3.0,12.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,8.0,6.0,0.0,2.0,4.0,2.0,0.0,5.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,47.0,0.0,0.0,8.0,6.0,6.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,53.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,29.0,2.0
2011-16,5.0,0.0,3.0,41.0,3.0,0.0,0.0,0.0,11.0,0.0,32.0,2.0,5.0,2.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,3.0,2.0,1.0,8.0,0.0,3.0,0.0,0.0,6.0,0.0,3.0,12.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,8.0,6.0,0.0,2.0,4.0,2.0,0.0,5.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,47.0,0.0,0.0,8.0,6.0,6.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,53.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,29.0,2.0
2011-17,5.0,0.0,3.0,41.0,3.0,0.0,0.0,0.0,11.0,0.0,32.0,2.0,5.0,2.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,3.0,2.0,1.0,8.0,0.0,3.0,0.0,0.0,6.0,0.0,3.0,12.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,8.0,6.0,0.0,2.0,4.0,2.0,0.0,5.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,47.0,0.0,0.0,8.0,6.0,6.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,53.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,29.0,2.0
2011-18,5.0,0.0,3.0,41.0,3.0,0.0,0.0,0.0,11.0,0.0,32.0,2.0,5.0,2.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,3.0,2.0,1.0,8.0,0.0,3.0,0.0,0.0,6.0,0.0,3.0,12.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,8.0,6.0,0.0,2.0,4.0,2.0,0.0,5.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,47.0,0.0,0.0,8.0,6.0,6.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,53.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,29.0,2.0
2011-19,4.0,0.0,3.0,60.0,0.0,0.0,4.0,0.0,22.0,0.0,31.0,2.0,5.0,1.0,2.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,7.0,0.0,2.0,16.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,43.0,0.0,0.0,6.0,8.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,5.0,23.0,0.0
