date,north_dakota_flu,flu,influenza a and b,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,how long contagious,i have the flu,low body,flu treatment,man flu,is the flu contagious,flu shot,flu vs cold,flu symptoms 2018,human temperature,high fever,cold vs flu,dog flu,influenza symptoms,the flu virus,side effects of flu shot,influenza incubation period,thermoscan,normal body temperature,how long does the flu last,cdc flu map,fever flu,stomach flu,how long does flu last,influenza a,swine flu,flu cough,contagious flu,signs of flu,normal body,is flu contagious,ear thermometer,flu fever,symptoms of the flu,taking temperature,keto flu,flu contagious,bronchitis,flu symptoms 2017,symptoms of bronchitis,oscillococcinum,flu medicine,flu shot side effects,body temperature,target
2011-09,3.01666,7.0,0.0,59.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,57.0,81.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,73.0,4.21801
2011-10,4.21801,7.0,0.0,59.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,57.0,81.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,73.0,2.2166200000000003
2011-11,2.2166200000000003,7.0,0.0,59.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,57.0,81.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,73.0,2.26397
2011-12,2.26397,7.0,0.0,59.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,57.0,81.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,73.0,0.8467020000000001
2011-13,0.8467020000000001,7.0,0.0,59.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,57.0,81.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,73.0,0.7218479999999999
2011-14,0.7218479999999999,7.0,0.0,38.0,31.0,0.0,0.0,0.0,11.0,13.0,0.0,31.0,0.0,35.0,0.0,0.0,39.0,0.0,43.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,41.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,11.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,49.0,0.0,0.0,0.0,0.0,0.0,26.0,0.794439
2011-15,0.794439,7.0,0.0,38.0,31.0,0.0,0.0,0.0,11.0,13.0,0.0,31.0,0.0,35.0,0.0,0.0,39.0,0.0,43.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,41.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,11.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,49.0,0.0,0.0,0.0,0.0,0.0,26.0,0.39973400000000003
2011-16,0.39973400000000003,7.0,0.0,38.0,31.0,0.0,0.0,0.0,11.0,13.0,0.0,31.0,0.0,35.0,0.0,0.0,39.0,0.0,43.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,41.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,11.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,49.0,0.0,0.0,0.0,0.0,0.0,26.0,0.210416
2011-17,0.210416,7.0,0.0,38.0,31.0,0.0,0.0,0.0,11.0,13.0,0.0,31.0,0.0,35.0,0.0,0.0,39.0,0.0,43.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,41.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,11.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,49.0,0.0,0.0,0.0,0.0,0.0,26.0,0.24630500000000002
2011-18,0.24630500000000002,10.0,0.0,41.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,57.0,0.06835269999999999
