date,vermont_flu,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,braun thermoscan,flu report,swine flu symptoms,oscillococcinum,bronchitis,contagious flu,cdc flu,flu fever,vermont flu,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,flu vs cold,taking temperature,uvm flu shots,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,influenza symptoms,how long contagious,is the flu contagious,flu symptoms 2017,i have the flu,fever flu,swine flu,how long does the flu last,cold vs flu,flu and fever,signs of flu,flu care,flu children,thermoscan,flu treatment,cdc flu map,the flu virus,how long does flu last,human temperature,how long is flu contagious,is flu contagious,how long is the flu contagious,cold or flu,flu map,flu symptoms,spanish flu,body temperature,fever reducer,flu cough,signs of the flu,how long flu,flu or cold,fever cough,ear thermometer,target
2011-16,1.4352200000000002,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0,41.0,0.0,0.0,0.0,0.0,41.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,48.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3274299999999999
2011-17,1.3274299999999999,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0,41.0,0.0,0.0,0.0,0.0,41.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,48.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.514
2011-18,1.514,3.0,34.0,0.0,0.0,82.0,52.0,0.0,0.0,96.0,0.0,0.0,0.0,53.0,0.0,53.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,50.0,0.0,0.0,37.0,0.0,0.0,0.0,52.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96672
2011-19,1.96672,3.0,34.0,0.0,0.0,82.0,52.0,0.0,0.0,96.0,0.0,0.0,0.0,53.0,0.0,53.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,50.0,0.0,0.0,37.0,0.0,0.0,0.0,52.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4565
2011-20,1.4565,3.0,34.0,0.0,0.0,82.0,52.0,0.0,0.0,96.0,0.0,0.0,0.0,53.0,0.0,53.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,50.0,0.0,0.0,37.0,0.0,0.0,0.0,52.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1976
2011-21,1.1976,3.0,34.0,0.0,0.0,82.0,52.0,0.0,0.0,96.0,0.0,0.0,0.0,53.0,0.0,53.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,50.0,0.0,0.0,37.0,0.0,0.0,0.0,52.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1264100000000001
2011-22,1.1264100000000001,3.0,34.0,0.0,0.0,82.0,52.0,0.0,0.0,96.0,0.0,0.0,0.0,53.0,0.0,53.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,50.0,0.0,0.0,37.0,0.0,0.0,0.0,52.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06724
2011-23,1.06724,3.0,0.0,37.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,8.0,0.0,24.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.586166
2011-24,0.586166,3.0,0.0,37.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,8.0,0.0,24.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,1.18765
2011-25,1.18765,3.0,0.0,37.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,8.0,0.0,24.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.6459189999999999
