date,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,braun thermoscan,flu report,swine flu symptoms,oscillococcinum,bronchitis,contagious flu,cdc flu,flu fever,vermont flu,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,flu vs cold,taking temperature,uvm flu shots,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,influenza symptoms,how long contagious,is the flu contagious,flu symptoms 2017,i have the flu,fever flu,swine flu,how long does the flu last,cold vs flu,flu and fever,signs of flu,flu care,flu children,thermoscan,flu treatment,cdc flu map,the flu virus,how long does flu last,human temperature,how long is flu contagious,is flu contagious,how long is the flu contagious,cold or flu,flu map,flu symptoms,spanish flu,body temperature,fever reducer,flu cough,signs of the flu,how long flu,flu or cold,fever cough,ear thermometer
2012-09-01,9,0,57,5,0,0,7,0,0,0,0,0,51,0,0,0,32,0,0,81,0,0,0,0,0,0,66,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,7,0,28,0,0,0,0,0,0,0
2012-10-01,23,23,25,4,0,0,26,0,0,0,0,0,54,0,35,35,42,0,0,53,0,0,0,0,0,0,66,0,0,0,0,0,0,51,0,0,0,35,12,0,0,0,0,0,70,100,0,0,0,0,0,0,0,0,0,0,17,30,33,0,0,0,0,0,0,0
2012-11-01,14,0,0,13,0,0,15,0,0,0,0,0,85,0,0,55,0,39,0,37,39,0,0,0,0,0,61,72,0,0,35,0,0,27,0,0,0,55,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,0,72
2012-12-01,20,56,46,30,0,85,28,31,0,0,0,0,97,35,0,63,34,45,35,0,45,0,0,89,0,0,30,41,0,0,40,0,0,31,68,0,0,63,0,0,89,0,0,0,0,0,100,0,72,0,0,0,75,0,0,0,24,0,20,91,0,0,31,0,0,0
2013-01-01,79,41,29,48,0,41,61,37,0,0,0,66,42,51,0,41,65,43,51,61,43,0,82,0,0,0,81,0,100,0,0,65,0,45,0,0,0,41,43,31,0,0,33,0,0,0,97,0,0,0,61,0,0,0,88,100,100,34,28,0,54,82,37,88,0,0
2013-02-01,17,24,65,4,0,0,6,13,0,0,0,0,56,0,0,73,29,78,0,0,78,0,73,76,0,0,60,0,67,0,0,0,0,53,0,0,0,73,0,0,76,0,29,0,0,0,0,77,0,0,0,0,0,0,0,45,39,31,42,0,0,0,13,0,0,0
2013-03-01,14,43,46,11,0,32,5,12,0,0,0,0,57,0,0,0,0,0,0,32,0,46,0,0,57,0,34,31,39,0,31,0,43,0,0,0,0,0,23,0,0,0,26,60,0,46,0,0,0,0,0,0,0,0,0,0,5,0,52,0,0,0,12,0,33,0
2013-04-01,7,0,24,12,80,34,0,0,0,0,0,0,43,0,34,34,0,0,0,34,0,0,0,0,0,0,36,33,0,0,0,0,0,25,0,0,0,34,12,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,42,6,0,24,0,0,0,0,0,35,0
2013-05-01,5,0,50,0,55,35,0,0,0,0,0,56,18,0,0,0,28,0,0,35,0,0,0,0,0,0,33,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,16,0,0,0,0,0,0,0
2013-06-01,6,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,30,40,0,37,40,0,0,0,0,0,18,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,73
2013-07-01,2,0,0,0,0,70,0,13,0,0,0,0,18,0,0,0,28,0,0,36,0,0,0,0,63,0,29,0,0,0,34,0,0,26,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0,37,69
2013-08-01,5,0,25,12,0,0,9,0,0,0,0,0,18,0,35,0,0,0,0,35,0,0,0,0,0,0,29,0,0,0,33,0,0,0,0,0,60,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,24,0,0,0,0,0,36,68
2013-09-01,13,22,0,12,0,0,16,0,0,0,0,0,25,0,0,0,0,35,0,0,35,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,47,39,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,64
2013-10-01,23,0,0,18,0,31,39,11,0,0,0,50,47,0,31,0,62,33,0,31,33,0,0,0,0,0,33,0,0,0,0,49,0,23,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,72,0,0,0,11,0,0,0
2013-11-01,11,0,0,11,0,0,21,0,0,0,0,0,57,0,32,32,51,0,0,0,0,0,0,0,0,0,41,0,0,0,61,100,0,0,51,0,0,32,0,0,0,0,0,0,64,0,0,67,55,0,48,0,0,0,0,39,5,27,45,69,0,0,0,0,0,0
2013-12-01,16,0,21,14,0,30,10,22,0,0,0,0,30,25,0,45,24,0,25,60,0,43,0,0,0,0,45,29,0,0,0,0,0,65,0,0,0,45,0,23,0,57,0,0,0,0,0,0,0,0,44,0,0,0,0,0,10,25,49,64,40,0,22,0,0,0
2014-01-01,34,37,60,26,0,69,28,10,0,0,0,44,42,24,56,0,45,29,24,42,29,0,0,58,0,0,55,27,0,0,27,66,0,20,45,0,0,0,30,0,58,0,22,0,0,0,0,0,0,0,0,0,100,69,30,0,25,0,32,0,0,56,10,30,0,0
2014-02-01,14,21,67,18,49,46,10,23,0,0,0,100,63,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,56,49,0,0,0,11,24,0,0,0,0,0,0,37,0,0,33,46,0,0,77,0,38,23,0,0,0,41,0,23,0,32,0
2014-03-01,13,19,20,7,44,28,0,10,0,0,0,0,50,0,28,28,22,0,0,0,0,0,0,0,0,0,53,55,0,0,0,0,0,41,0,0,0,28,0,0,0,0,0,0,56,0,33,0,49,0,42,0,50,0,0,0,16,0,33,0,0,57,10,0,29,0
2014-04-01,9,0,69,11,0,31,5,0,0,0,0,0,48,0,0,32,25,33,0,32,33,0,0,0,0,0,37,0,39,0,30,0,0,23,0,0,0,32,0,0,0,0,26,0,0,0,37,0,0,0,47,0,0,0,0,0,10,0,37,69,0,0,0,0,0,0
2014-05-01,4,23,25,0,0,35,0,0,64,0,0,0,62,0,0,0,0,37,0,0,37,0,0,0,0,0,20,0,0,0,67,0,0,38,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,37,0,9,0,16,0,47,0,0,37,0,0
2014-06-01,3,0,0,0,0,82,0,15,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,34,40,0,0,39,0,0,30,0,0,0,0,15,31,0,0,0,0,0,0,0,0,0,45,60,0,0,0,0,0,7,0,38,0,55,0,15,0,0,0
2014-07-01,3,0,0,5,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,40,0,0,0,0,0,0,14,0,0,0,76,0,0,29,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,41,0
2014-08-01,5,0,0,5,0,39,13,0,0,0,0,0,0,0,0,0,31,0,0,39,0,0,0,82,70,0,41,0,0,0,37,0,0,43,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
2014-09-01,17,0,25,21,0,0,6,32,0,0,0,0,36,0,35,0,42,0,0,0,0,0,0,73,0,0,21,0,0,0,34,0,0,25,0,0,61,0,13,0,73,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,9,30,24,0,0,0,32,0,55,0
2014-10-01,22,0,23,15,50,31,45,0,0,0,0,0,40,0,32,0,38,0,0,95,0,0,0,0,0,62,63,0,0,0,0,0,0,23,0,0,0,0,11,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,22,0,0,0,0,0,0,0
2014-11-01,11,22,47,8,0,0,16,12,0,0,0,53,75,0,0,33,26,0,0,33,0,0,0,0,0,0,23,0,0,0,0,52,0,48,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,0,0,0,12,0,34,0
2014-12-01,25,20,33,21,0,45,5,0,57,0,0,48,93,0,0,31,24,63,0,90,63,87,0,0,0,0,39,30,37,0,0,0,0,44,0,0,0,31,0,0,0,0,24,0,0,0,0,0,0,33,0,0,0,0,0,73,10,25,42,0,0,0,0,0,0,0
2015-01-01,39,29,52,44,45,29,24,16,0,0,0,0,29,73,0,58,23,46,73,43,46,0,58,0,0,0,64,28,35,0,55,0,0,32,46,0,100,58,0,22,0,0,23,81,0,0,34,0,100,62,85,0,52,72,31,35,35,0,34,0,39,58,16,31,30,0
2015-02-01,20,41,55,36,0,46,15,34,0,0,0,0,55,90,0,31,25,0,90,31,0,45,0,64,0,0,65,0,38,0,29,0,41,90,99,0,0,31,0,0,64,0,0,0,0,0,37,0,0,33,46,82,0,0,33,38,25,0,36,67,0,0,34,33,32,0
2015-03-01,15,0,92,17,0,56,5,10,53,0,0,0,94,24,0,57,23,30,24,85,30,0,57,60,0,0,56,41,34,0,54,44,0,21,0,0,49,57,10,44,60,0,0,0,0,0,0,61,73,0,41,0,0,0,0,0,18,48,33,0,76,0,10,0,59,0
2015-04-01,10,50,22,3,0,0,5,0,0,0,0,0,61,50,0,60,24,0,50,0,0,43,0,0,0,0,63,29,0,0,0,0,0,22,0,0,0,60,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,10,0,35,0,40,0,0,0,31,0
2015-05-01,5,21,23,4,100,31,0,0,0,0,66,0,24,0,64,64,0,33,0,0,33,0,0,0,0,0,22,0,0,0,0,0,0,23,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,5,0,29,0,0,0,0,0,0,0
2015-06-01,4,23,0,4,53,0,0,0,0,0,0,0,43,0,0,0,27,36,0,0,36,0,0,0,0,0,40,0,0,0,33,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,6,0,24,0,0,0,0,0,0,0
2015-07-01,6,0,0,0,0,39,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,37,0,0,28,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2015-08-01,7,0,0,4,58,0,6,0,0,0,0,0,58,0,0,0,30,0,0,37,0,0,0,0,0,0,39,0,46,0,35,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,6,0,35,0,0,0,0,0,0,0
2015-09-01,13,23,49,12,0,51,17,0,0,0,0,0,43,0,35,34,55,0,0,85,0,0,0,0,0,0,52,100,0,0,0,0,0,0,0,0,0,34,0,0,0,65,0,0,0,0,0,0,0,0,50,0,0,0,37,0,8,0,39,0,0,0,0,37,0,0
2015-10-01,15,0,24,8,0,0,50,0,0,0,0,0,42,28,84,33,27,35,28,0,35,0,0,0,0,0,66,97,0,0,32,52,0,0,0,0,0,33,12,0,0,0,0,62,0,0,40,0,0,0,0,0,0,0,0,41,8,0,23,0,45,0,0,0,0,0
