date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu maryland,flu game,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,fever,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,stomach,how long is flu contagious,treatment for flu,cdc flu,taking temperature,exposed to flu,flu length,bronchitis,get over the flu,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,signs of the flu,treat flu,how to get rid of the flu,body temperature
2012-06-01,4,0,0,0,0,18,0,18,0,0,3,3,0,0,0,33,1,0,0,0,1,5,19,0,0,0,3,0,0,0,28,0,14,0,33,0,0,0,2,0,0,0,14,0,0,22,22,0,0,0,0,0,0,0,42,0,0,11,0,7,0,12,3,6,3,0,10,0,0,53,0,0,1,0,0,0,0,1,0,59,0,0,9,8,0,0,28,0,4,0,0,0,0,0,0,0,49
2012-07-01,5,0,0,4,4,0,0,0,17,0,0,3,0,0,0,28,2,1,0,0,3,0,5,0,0,0,3,0,0,0,0,0,14,10,78,0,16,0,4,0,0,0,21,0,0,0,52,0,0,0,0,0,0,1,39,0,0,31,0,7,7,7,0,9,9,0,0,0,0,55,0,1,1,0,0,0,0,0,0,59,0,0,0,0,0,0,28,0,5,0,0,0,0,0,0,0,44
2012-08-01,8,3,0,7,0,0,0,0,0,8,3,0,3,0,0,42,1,1,0,1,4,11,9,0,0,0,3,5,0,0,0,13,0,10,55,0,10,1,4,0,1,0,0,0,13,10,60,0,0,0,0,18,0,1,37,0,1,33,0,13,7,14,3,23,8,0,0,0,0,50,1,0,0,0,0,0,0,1,0,56,0,0,0,31,0,0,19,0,2,0,0,12,12,0,0,0,60
2012-09-01,17,0,3,0,3,0,0,0,0,46,3,0,3,0,0,52,3,1,0,0,8,16,9,4,0,0,11,0,0,0,0,0,20,0,61,0,0,0,23,0,1,0,13,13,13,10,0,0,0,0,0,55,18,1,40,0,0,13,0,24,14,7,8,10,32,0,7,0,0,42,0,0,1,0,0,11,0,1,0,48,0,0,35,0,0,0,44,0,4,0,0,12,25,0,0,5,66
2012-10-01,25,0,3,3,0,0,0,0,15,61,3,0,0,0,0,43,2,2,0,0,13,33,8,0,0,0,12,2,10,0,12,12,12,28,64,18,0,0,43,0,0,12,0,49,0,28,37,9,0,0,0,0,17,1,44,0,0,18,6,31,0,14,3,8,39,0,0,0,4,69,0,0,2,0,19,0,0,1,0,49,0,7,28,7,0,0,50,0,3,0,0,11,11,0,5,5,62
2012-11-01,17,3,0,3,0,0,0,0,0,22,0,0,0,0,0,55,5,0,0,0,11,10,7,3,0,4,10,2,2,0,10,10,0,0,66,8,23,0,24,0,0,10,21,10,0,23,23,0,0,0,0,14,28,1,35,0,0,10,5,16,10,15,4,6,18,7,5,0,0,54,0,0,2,8,8,8,0,1,0,55,0,0,6,0,0,0,65,0,7,19,9,19,0,4,4,4,49
2012-12-01,28,0,3,3,2,18,0,12,12,20,2,5,0,2,0,79,11,3,0,0,26,16,6,8,0,4,26,10,10,0,57,10,9,15,48,29,18,1,22,0,0,24,15,10,0,7,66,7,0,13,26,65,33,1,28,0,0,19,0,39,17,38,13,8,15,3,27,0,3,72,1,0,3,0,0,15,0,2,0,70,0,0,14,6,0,1,74,1,4,18,0,27,27,18,5,5,53
2013-01-01,88,3,5,6,5,100,0,11,22,100,4,2,4,1,1,84,25,3,0,0,66,84,16,7,0,11,72,2,16,0,100,17,0,40,57,13,53,1,69,0,1,71,22,35,45,27,60,7,0,24,30,60,90,1,40,1,0,31,13,100,58,56,20,15,71,3,47,3,3,79,4,1,11,14,21,28,7,2,1,78,1,10,65,10,8,0,92,4,7,24,16,41,65,15,10,7,100
2013-02-01,25,3,0,4,0,19,0,13,0,4,2,2,2,2,2,62,11,3,0,1,24,17,3,3,0,10,23,2,10,10,30,20,10,23,31,0,12,0,9,0,1,20,31,15,26,23,23,8,8,14,14,0,42,0,34,0,0,10,8,39,21,40,18,4,10,5,26,3,0,66,2,0,4,8,0,24,16,2,0,73,0,0,21,0,0,0,66,1,7,19,9,28,0,12,4,4,74
2013-03-01,15,0,3,0,3,13,0,26,0,5,5,8,0,0,0,55,8,1,0,0,20,17,5,0,0,4,6,4,10,0,25,0,0,15,31,0,15,1,2,0,0,0,10,20,20,8,93,8,0,0,0,21,21,2,42,0,0,15,5,41,21,38,13,4,4,3,10,7,0,73,1,0,3,0,8,8,0,1,0,76,0,0,24,6,0,1,53,1,5,28,0,28,0,4,6,4,71
2013-04-01,12,0,0,51,0,14,0,0,0,5,0,0,0,0,0,42,5,1,0,1,8,7,11,4,0,5,0,2,2,0,33,0,0,13,55,8,21,0,4,0,0,11,0,0,11,0,34,8,0,0,0,15,15,1,39,0,0,17,0,17,20,15,13,7,8,0,4,0,0,65,1,0,1,0,0,0,0,0,0,67,0,0,10,0,7,0,49,0,2,0,0,20,0,4,0,0,52
