date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu symptoms,flu game,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu chicago,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,medicine for flu,cold vs flu,influenza type a,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,walgreens flu shot,normal body temperature,how to treat the flu,flu virus,fever flu,stomach flu,how long does flu last,illinois flu,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,stomach,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2011-12-01,15,0,34,11,22,6,0,0,0,6,4,1,0,0,0,50,5,1,0,0,11,12,1,0,0,2,13,3,7,0,15,6,0,10,55,7,21,0,9,0,0,15,4,4,2,4,7,30,4,3,0,0,5,16,22,0,11,3,20,0,27,6,42,2,1,9,5,0,13,4,20,4,61,5,26,8,5,0,59,0,0,8,0,19,0,4,52,20,19,4,12,19,0,3,2,58
2012-01-01,15,0,31,10,0,7,0,1,0,3,2,1,0,0,0,49,5,1,0,0,13,14,1,1,0,1,10,2,6,0,6,6,6,11,57,0,29,0,5,0,0,14,0,4,0,0,16,34,3,2,0,2,6,20,20,0,0,3,28,4,12,4,48,4,1,7,7,2,9,0,12,0,57,9,24,5,14,0,64,1,1,3,2,13,0,3,55,12,10,14,18,22,4,3,3,75
2012-02-01,14,0,11,11,11,14,0,1,1,5,4,4,0,0,0,61,5,2,0,0,14,14,1,0,0,3,11,3,10,6,24,6,24,5,78,5,21,0,3,0,0,13,2,6,0,0,14,56,3,2,2,0,4,31,47,10,0,3,19,3,26,5,39,3,2,7,3,2,9,0,4,4,52,5,12,0,27,0,59,0,1,7,5,13,0,0,41,16,18,7,11,0,0,4,0,64
2012-03-01,14,10,0,11,11,19,1,0,1,4,6,4,0,0,0,63,4,1,0,0,11,15,1,1,0,4,14,3,4,6,20,6,14,7,51,9,22,1,2,0,0,17,0,6,0,0,18,68,8,0,3,2,17,10,41,15,10,0,17,0,11,5,33,3,2,10,2,2,9,3,12,3,66,10,26,0,12,0,67,0,0,10,4,13,2,4,28,18,9,15,11,4,0,4,2,73
2012-04-01,8,10,0,0,10,14,1,0,1,1,3,5,0,2,0,46,4,1,0,0,8,9,1,0,0,2,7,3,5,0,17,6,11,9,62,0,15,0,1,0,0,8,6,2,0,0,8,42,7,3,2,0,7,10,10,10,10,0,25,0,13,4,19,2,1,3,2,0,6,3,3,0,43,5,12,0,14,0,61,0,0,3,0,8,2,5,21,14,3,4,7,14,0,2,2,66
2012-05-01,7,0,11,0,0,9,0,0,1,1,1,2,0,0,0,40,2,1,0,0,5,6,1,0,0,2,5,3,3,0,9,0,6,11,64,0,9,0,1,0,0,6,0,0,0,0,10,52,3,0,0,0,5,21,16,0,0,0,21,4,17,4,18,2,1,5,2,0,5,0,4,0,50,0,0,0,5,0,60,0,0,5,0,7,0,0,12,16,5,4,0,0,0,4,0,44
2012-06-01,6,0,10,0,10,3,0,0,0,2,1,1,0,0,0,34,2,0,0,0,5,5,2,0,0,1,6,2,1,0,0,0,9,4,31,4,9,1,1,0,0,2,0,2,4,0,15,41,3,0,0,0,0,10,25,0,0,0,16,0,8,2,13,1,1,4,2,0,7,3,3,0,50,0,10,0,7,0,61,0,0,2,0,11,0,0,12,10,7,0,7,0,0,2,0,51
2012-07-01,4,0,19,0,0,2,0,0,0,2,3,2,0,0,0,31,1,0,0,0,3,5,1,0,0,0,6,2,1,0,11,5,5,8,41,0,8,1,1,0,0,4,0,2,0,0,8,54,6,0,0,0,0,9,14,0,0,0,16,0,15,3,13,1,1,6,3,0,4,0,6,0,47,7,9,9,13,0,60,0,0,3,2,5,0,3,13,15,3,0,0,0,0,4,2,42
2012-08-01,8,0,0,0,10,4,0,0,0,6,2,2,0,0,0,35,2,0,0,0,5,8,1,0,0,1,7,3,2,0,11,0,5,8,54,0,10,0,4,0,0,8,0,0,0,0,11,41,0,2,0,2,0,0,9,0,0,2,11,0,16,2,11,1,1,13,0,0,3,0,8,0,55,0,4,0,13,0,60,0,0,4,2,4,2,0,27,13,6,7,10,0,3,2,0,57
2012-09-01,14,0,10,10,10,7,0,0,1,31,4,0,0,0,0,44,4,1,0,1,11,11,0,0,0,1,11,2,4,0,8,0,5,13,71,4,4,0,22,0,0,10,0,0,4,0,20,31,3,2,0,0,2,0,14,0,0,14,20,0,18,3,16,2,2,48,2,0,2,0,3,3,39,9,7,4,9,0,58,0,0,8,2,2,2,0,11,29,16,7,17,10,3,2,0,72
