date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,flu symptoms 2018,human temperature,high fever,spanish flu,medicine for flu,flu treatments,cold vs flu,dog flu,fight the flu,influenza symptoms,the flu virus,reduce fever,type a influenza,1918 flu,influenza incubation period,walgreens flu shot,normal body temperature,how to treat the flu,how long does the flu last,stomach flu,how long does flu last,swine flu,flu cough,contagious flu,what to do if you have the flu,flu report,signs of flu,flu in delaware,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,flu map,treatment for flu,cdc flu,exposed to flu,keto flu,flu contagious,flu length,get over the flu,symptoms of bronchitis,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature
2011-12-01,10,0,0,0,0,0,0,100,0,0,0,0,0,0,76,0,0,0,0,7,5,0,0,0,25,0,0,0,0,0,62,31,0,0,7,0,18,0,38,0,0,0,0,0,0,0,0,0,34,0,0,0,33,0,0,0,0,0,30,0,0,17,17,17,0,38,0,0,0,32,32,0,0,0,0,0,0,34,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,23
2012-01-01,9,0,0,49,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,8,0,0,0,23,0,0,0,0,0,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,31,0,0,0,0,0,0,0,0,32,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,59,0,0,0,36,0,0,39,0,0,0,22
2012-02-01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,3,13,0,24,0,0,0,0,0,31,0,0,0,30,0,0,0,7,0,36,0,0,0,0,0,17,65,0,0,32,0,0,31,0,0,0,0,0,0,29,0,0,16,0,16,0,0,0,0,0,0,31,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,44
2012-03-01,12,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,0,0,0,5,6,0,12,0,0,30,0,0,0,0,43,0,43,0,0,0,7,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,16,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2012-04-01,3,0,0,33,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,7,10,0,0,12,0,0,0,0,0,0,0,0,60,0,0,0,7,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
2012-05-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,44,9,0,0,0,6,3,0,12,0,12,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,34,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,0,35,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,43
2012-06-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,3,0,0,12,0,0,32,0,0,0,0,31,0,31,0,0,0,7,0,0,38,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,17,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2012-07-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,35,0,0,0,0,27,0,0,47,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2012-08-01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,9,0,0,3,9,0,0,0,11,29,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,16,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2012-09-01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,43,9,0,0,0,12,3,0,11,0,0,0,0,0,0,0,28,0,55,7,0,0,16,0,34,0,0,0,0,16,0,31,0,0,31,0,0,0,0,0,0,0,0,0,27,0,0,16,0,0,0,34,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,35,0,0,0,0,0,0,31
