date,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,oscillococcinum,bronchitis,contagious flu,flu fever,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,cure flu,flu vs cold,taking temperature,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,reduce fever,influenza symptoms,how long contagious,i have the flu,fever flu,swine flu,how long does the flu last,cold vs flu,thermoscan,flu treatment,the flu virus,how long does flu last,human temperature,is flu contagious,cold or flu,flu symptoms,spanish flu,body temperature,fever reducer,flu cough,how long flu,fever cough,ear thermometer
2014-05-01,8,51,18,8,0,29,0,0,0,43,0,0,0,0,35,0,0,0,0,0,0,33,27,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,26,0,0,0,0,0
2014-06-01,14,0,0,9,0,51,0,28,0,25,0,0,0,0,0,0,57,0,0,0,0,38,30,0,0,29,0,100,0,28,0,0,20,0,0,0,0,0,0,40,0,0,11,0,45,0,0,28,0,0
2014-07-01,13,0,20,9,0,0,18,0,0,32,0,100,0,0,38,0,0,54,0,0,0,25,0,0,0,0,0,0,0,26,0,100,0,0,0,0,0,0,0,38,0,0,10,0,0,0,0,0,0,0
2014-08-01,9,27,19,17,0,0,9,27,0,39,0,0,0,0,0,0,0,0,0,0,46,11,0,0,0,27,0,0,0,52,39,0,0,62,0,0,0,0,53,38,0,0,0,36,70,0,0,27,0,0
2014-09-01,25,0,18,41,31,31,17,26,56,52,0,0,37,0,72,37,0,51,0,0,0,27,27,0,0,78,0,0,0,0,0,0,0,0,0,0,0,45,50,36,0,63,0,0,13,0,0,26,51,0
2014-10-01,58,0,35,47,30,29,100,49,0,57,0,0,52,0,35,52,49,48,0,0,0,35,0,0,0,25,37,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,9,33,26,48,46,49,0,54
2014-11-01,41,26,84,45,31,62,21,52,0,83,28,48,0,28,73,0,0,0,0,0,45,31,0,60,0,0,0,0,45,75,0,48,0,60,0,0,0,0,51,36,0,0,38,35,40,0,49,52,0,0
2014-12-01,34,0,56,37,0,0,25,0,0,45,0,48,0,0,36,0,0,0,0,0,0,31,55,0,0,0,0,0,0,25,0,48,18,0,58,0,0,45,0,0,0,0,19,0,40,0,0,0,0,0
2015-01-01,26,25,36,36,0,0,0,38,0,80,54,46,35,54,53,35,0,0,60,0,43,36,0,0,0,25,39,0,43,48,36,46,0,58,0,0,0,0,49,0,52,0,37,0,0,0,0,38,0,0
2015-02-01,18,27,19,21,32,32,9,27,0,54,29,0,37,29,0,37,0,53,63,0,0,35,0,0,0,27,0,0,0,51,38,0,0,0,0,0,0,46,0,0,55,0,15,0,0,0,0,27,0,0
2015-03-01,21,100,27,16,0,0,8,25,0,43,0,0,35,0,0,35,0,49,0,0,0,52,26,58,0,50,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,27,34,13,48,47,25,25,0
2015-04-01,23,25,18,8,0,44,8,0,0,57,0,46,0,0,35,0,0,0,0,62,0,39,26,0,0,25,0,87,0,48,0,46,0,0,55,0,0,43,0,0,0,0,23,100,64,48,0,0,25,0
2015-05-01,18,53,75,12,32,31,0,27,0,15,0,0,37,0,0,37,53,0,0,0,0,24,0,0,0,26,0,0,0,38,0,0,0,0,0,0,0,0,52,74,0,0,14,35,0,0,0,27,0,0
2015-06-01,7,0,37,8,32,31,0,0,57,15,0,48,37,0,37,37,0,0,0,0,0,45,28,0,0,53,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,58
2015-07-01,17,0,0,8,30,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,55
2015-08-01,8,0,26,39,0,58,0,0,0,42,0,0,0,0,34,0,0,0,0,0,0,35,26,0,0,24,0,0,0,47,0,0,0,0,0,0,0,42,0,0,50,0,13,0,13,0,0,0,0,0
2015-09-01,26,24,26,11,0,56,27,0,0,76,0,44,34,0,100,34,0,0,0,60,0,41,0,0,0,24,0,0,42,34,0,44,0,0,53,0,0,0,0,33,0,0,17,32,25,0,0,0,0,0
