date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,flu utah,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,spanish flu,medicine for flu,cold vs flu,influenza type a,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,food poisoning,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,signs of flu,over the counter flu medicine,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,treatment for flu,cdc flu,exposed to flu,keto flu,flu contagious,flu length,get over the flu,stomach flu symptoms,flu in utah,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2011-12-01,19,0,0,0,0,3,0,0,3,0,0,9,0,0,0,6,34,41,20,0,0,17,0,0,7,19,0,9,0,10,0,0,48,21,5,8,8,0,5,0,0,0,0,0,0,18,27,0,18,0,0,14,14,41,0,0,0,21,0,42,21,46,5,39,5,0,0,35,0,0,0,73,0,56,0,0,19,0,25,0,0,0,0,45,0,0,31,0,0,0,24,24,0,13,0,60
2012-01-01,17,0,0,52,0,5,0,0,0,15,0,0,0,0,0,0,58,18,37,0,18,17,0,0,6,17,0,13,0,9,0,0,43,7,0,5,9,0,7,0,0,0,0,0,0,0,16,48,0,0,0,0,12,0,37,0,0,56,0,19,19,14,0,27,12,0,16,16,0,0,0,57,0,17,0,0,17,0,22,22,22,0,0,13,0,0,21,34,28,0,42,0,0,0,0,78
2012-02-01,16,0,0,0,0,8,0,0,0,16,8,8,0,0,0,3,63,19,0,0,0,18,0,0,9,22,9,26,0,9,0,0,54,7,0,0,5,0,3,0,0,40,40,0,0,0,42,25,17,13,0,0,13,0,0,0,0,0,0,29,19,34,6,34,15,0,0,33,0,0,0,34,0,0,0,0,35,47,23,0,0,0,0,0,14,0,22,29,14,0,22,0,0,0,0,50
2012-03-01,18,0,0,0,0,15,0,0,0,15,0,0,0,0,0,2,50,55,18,0,18,23,2,0,8,8,0,8,0,0,0,0,59,9,5,9,5,0,5,0,0,0,37,0,75,24,55,16,0,0,12,0,18,0,36,36,0,37,18,37,0,26,0,28,6,16,0,31,0,0,0,40,0,17,0,17,50,0,0,0,22,0,0,26,0,14,20,27,20,0,21,31,0,12,0,65
2012-04-01,10,0,0,0,0,8,0,0,0,8,0,8,0,0,0,0,40,77,38,0,0,5,0,0,0,9,0,18,0,0,0,0,18,10,0,0,0,2,2,0,0,0,0,40,0,17,25,33,0,0,13,0,13,0,0,39,0,30,0,20,0,17,4,30,0,0,0,33,0,0,0,34,0,0,0,17,35,0,35,0,23,0,0,0,0,0,15,0,29,0,22,33,0,0,0,51
2012-05-01,13,0,0,0,0,5,0,0,0,8,0,0,0,0,0,5,40,0,0,0,0,4,0,0,4,13,9,0,0,0,0,0,9,5,0,0,5,0,2,0,0,0,0,0,0,17,50,25,0,0,0,0,0,0,0,0,0,0,20,39,30,24,9,28,4,0,0,17,0,0,0,17,0,0,0,18,26,0,24,0,0,0,0,14,0,0,0,0,14,0,0,0,0,13,0,44
2012-06-01,8,0,0,58,0,6,0,0,0,0,0,9,0,0,0,0,37,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,8,0,0,5,0,0,0,0,0,0,0,0,0,27,18,0,0,0,0,0,0,41,0,0,0,21,0,0,16,0,25,9,0,0,26,0,0,0,0,0,19,0,0,0,0,25,0,0,0,0,15,0,0,15,15,0,0,23,0,0,13,0,47
2012-07-01,7,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,24,0,0,0,19,0,0,0,0,13,9,0,0,0,0,0,27,19,0,0,0,0,0,0,0,0,0,0,0,50,33,0,0,0,0,0,0,39,39,0,0,29,20,0,0,13,0,26,4,16,0,0,0,0,0,51,0,0,0,35,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,22,0,0,0,44
2012-08-01,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,34,0,33,0,17,6,0,0,0,8,0,12,0,8,0,0,16,6,0,0,10,0,6,0,0,34,0,0,0,0,29,15,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,24,6,0,0,14,0,15,0,22,0,0,0,15,15,0,20,0,20,0,0,12,0,0,13,0,13,0,19,0,0,0,0,44
2012-09-01,21,0,0,0,0,7,0,2,0,39,0,0,0,0,0,3,30,0,0,0,0,2,2,0,2,9,0,9,0,0,0,0,9,16,5,0,16,0,31,0,0,0,0,0,0,0,32,16,16,0,0,0,0,0,0,0,0,38,19,37,19,19,6,31,8,0,0,16,0,16,0,50,16,17,0,17,17,0,0,23,23,0,0,0,13,0,14,42,0,21,21,0,0,24,0,67
