date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,2018 flu,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,indiana flu,high fever,flu in indiana,medicine for flu,flu treatments,influenza type a,fight the flu,flu a symptoms,influenza symptoms,how to treat flu,reduce fever,type a influenza,cold symptoms,thermoscan,normal body temperature,how to treat the flu,flu virus,cold,fever flu,stomach flu,how long does flu last,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2011-11-01,12,0,38,0,0,6,0,1,1,8,2,2,0,0,0,1,61,10,0,0,0,14,0,0,2,6,4,0,0,8,0,0,28,44,0,15,0,21,1,0,1,0,0,0,6,24,7,7,0,0,0,12,0,8,0,0,19,10,10,0,10,40,0,1,0,26,6,0,10,0,9,0,12,16,16,31,0,7,0,0,0,8,0,12,0,0,34,11,11,13,20,26,0,0,0,37
2011-12-01,13,0,0,0,0,7,0,0,0,3,2,0,0,1,1,0,56,0,48,0,10,16,1,0,2,14,4,14,4,8,16,0,32,51,0,15,15,14,0,0,1,0,0,0,13,20,7,7,0,0,0,12,8,8,8,0,54,0,0,0,42,45,0,3,0,10,6,6,10,0,6,0,12,16,0,31,16,14,0,0,28,0,0,13,0,11,23,29,29,13,13,13,26,0,0,63
2012-01-01,11,0,0,0,0,8,0,0,1,2,2,2,0,0,1,0,47,9,18,0,0,12,0,0,2,12,4,9,0,0,0,0,37,40,13,0,13,6,0,0,0,3,3,0,9,25,6,0,0,0,0,11,15,7,7,0,32,19,57,9,28,46,0,3,0,0,6,6,6,0,8,0,22,21,0,0,0,13,0,0,19,0,0,8,0,0,31,10,10,18,18,24,0,6,0,97
2012-02-01,11,0,36,0,36,11,1,0,1,2,2,0,0,1,1,1,55,27,27,0,0,13,1,0,4,11,4,9,0,15,7,0,64,88,0,27,14,4,0,3,0,0,3,0,6,25,6,6,0,0,0,15,8,7,7,0,39,10,0,0,29,42,1,3,0,9,6,6,12,0,6,6,9,29,15,15,0,19,0,0,6,16,0,15,0,11,37,26,37,24,0,12,0,0,0,64
2012-03-01,9,0,0,35,0,13,0,0,0,2,0,2,0,0,0,0,52,27,0,0,0,11,1,0,3,11,0,11,4,0,7,0,26,54,0,13,0,3,0,0,0,3,0,0,13,19,6,13,0,0,0,11,19,0,7,0,25,0,19,0,0,38,0,1,0,6,6,0,9,0,6,6,14,14,15,29,0,6,0,6,13,24,8,12,0,0,26,53,11,12,12,0,0,0,0,57
2012-04-01,5,0,36,0,36,6,0,0,0,0,2,0,0,0,0,0,38,46,9,0,9,3,1,0,2,7,4,4,0,8,8,0,23,49,0,14,0,1,0,0,0,0,6,0,3,29,6,0,0,0,0,0,0,0,0,0,26,10,20,0,0,40,0,1,0,12,0,0,0,0,6,0,12,15,0,15,0,7,0,0,7,0,0,0,0,0,16,38,11,12,0,0,0,0,0,42
2012-05-01,5,0,74,37,37,7,0,0,1,2,0,2,0,0,0,0,37,9,9,0,0,7,0,0,1,11,0,6,4,0,0,0,31,28,0,0,0,1,0,0,0,0,3,0,3,16,0,0,7,0,0,0,8,0,11,0,30,0,0,0,0,37,0,1,0,12,0,6,0,0,6,6,12,0,0,0,0,7,0,0,0,0,0,0,8,0,11,22,11,0,13,0,0,0,0,36
2012-06-01,3,0,0,0,0,5,0,0,0,0,2,2,0,1,0,0,24,20,20,0,0,3,0,0,1,0,4,8,0,0,0,0,29,38,0,0,15,0,0,0,1,3,0,0,0,21,0,0,0,0,0,9,8,0,8,0,24,0,0,0,11,30,0,0,0,7,0,0,0,0,6,0,6,0,0,16,0,7,0,0,0,9,0,0,0,0,0,18,0,0,14,0,0,0,0,19
2012-07-01,4,0,0,0,0,3,0,0,1,0,2,2,0,0,0,1,28,9,9,0,0,2,0,0,2,4,0,4,0,0,0,0,50,48,0,14,0,1,0,0,0,3,4,0,4,23,0,0,0,0,0,8,0,0,7,0,15,0,20,0,0,33,0,1,0,6,12,0,12,0,0,0,6,15,15,15,0,7,0,0,0,8,0,16,0,0,11,0,0,12,0,12,0,0,6,48
2012-08-01,9,0,0,0,0,10,1,0,0,2,0,0,0,0,0,0,27,9,9,0,0,21,0,0,1,16,0,4,0,0,0,0,30,54,0,13,0,4,0,0,0,0,3,0,17,16,6,0,0,0,0,11,0,0,0,0,29,0,10,0,10,34,0,1,0,15,0,0,0,0,6,0,11,0,0,15,0,0,0,0,6,0,0,0,0,11,21,11,11,0,0,0,0,0,0,40
