date,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,braun thermoscan,symptoms of bronchitis,oscillococcinum,bronchitis,contagious flu,flu fever,influenza,influenza incubation period,stomach flu symptoms,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,dog flu,cure flu,flu vs cold,taking temperature,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,influenza symptoms,how long contagious,is the flu contagious,i have the flu,fever flu,how long does the flu last,cold vs flu,cure the flu,signs of flu,flu care,flu children,influenza a and b,thermoscan,flu treatment,influenza a,cdc flu map,the flu virus,how long does flu last,human temperature,is flu contagious,flu symptoms,flu symptoms in kids,flu symptoms 2019,dangerous fever,body temperature,flu cough,keto flu,how long flu,fever cough,ear thermometer
2014-03-01,16,25,37,18,0,48,4,25,0,0,0,33,0,0,8,0,34,0,0,0,0,59,0,0,0,49,0,70,69,0,0,22,0,12,61,0,0,0,0,49,0,0,0,0,0,0,0,8,0,0,38,36,50,7,0,0,0,40,0,0,25,52,0
2014-04-01,11,39,32,25,0,25,5,26,0,0,39,40,0,0,8,0,35,0,0,40,0,0,0,0,0,0,0,38,36,44,0,23,0,8,21,0,0,0,0,0,0,0,0,0,35,0,0,16,0,0,0,37,0,23,0,0,0,21,0,0,26,27,44
2014-05-01,11,29,14,7,15,0,5,0,0,0,0,57,0,0,6,0,39,0,0,22,0,0,0,0,0,0,0,42,40,0,0,0,0,11,24,74,72,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,46,0,0,0,0,0
2014-06-01,6,0,17,13,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,53,0,0,78,0,0,0,0,36,48,0,0,30,0,7,28,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,52,0,0,15,0,0,0,55,0,0,34,0,0
2014-07-01,7,0,16,8,0,0,0,0,0,0,0,21,0,0,2,0,0,0,0,100,0,0,0,0,0,0,0,43,45,0,0,28,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,9,0,0,0,34,0,0,0,0,0
2014-08-01,8,0,16,8,0,0,5,32,0,0,0,48,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,38,0,0,0,80,0,0,0,0,0,0,0,0,5,0,0,48,0,0,9,0,0,0,0,0,0,32,0,0
2014-09-01,30,0,14,41,0,0,19,28,0,49,0,55,0,0,8,0,0,22,0,22,22,66,0,0,0,0,0,48,39,0,0,49,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,60,0,0,28,58,0
2014-10-01,59,0,40,46,14,0,63,27,0,0,0,41,0,79,8,0,0,21,0,21,21,64,0,0,0,52,0,74,0,46,0,23,18,5,0,0,0,79,0,52,0,0,0,47,0,0,26,0,0,51,0,0,0,23,0,0,0,14,45,0,27,0,0
2014-11-01,35,0,41,33,0,0,26,27,0,0,0,42,0,54,8,0,37,22,0,85,22,0,0,12,0,0,0,69,76,46,0,0,38,5,33,0,0,54,0,0,0,0,47,0,0,0,0,4,0,52,0,0,0,20,0,0,0,29,0,0,27,0,0
2014-12-01,52,27,79,32,0,0,7,27,0,46,0,58,95,0,44,100,0,21,95,20,21,0,60,12,0,0,0,63,37,45,0,46,0,39,75,0,0,0,67,0,0,0,0,92,36,0,26,52,100,100,40,37,53,38,0,0,0,14,0,72,27,0,0
