date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza,influenza a and b,cure the flu,flu season,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu in idaho,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,flu symptoms 2018,high fever,spanish flu,medicine for flu,flu treatments,influenza type a,dog flu,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,how long does the flu last,fever flu,how long does flu last,food poisoning,influenza a,swine flu,over the counter flu,contagious flu,what to do if you have the flu,flu report,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,flu map,treatment for flu,cdc flu,exposed to flu,keto flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,flu medicine,flu remedies,flu shot side effects,flu complications,treat flu,how to get rid of the flu,body temperature,h1n1 flu
2011-12-01,16,0,0,18,0,0,11,0,0,0,0,39,0,0,0,0,38,0,0,0,0,31,0,0,16,15,15,0,0,0,19,0,0,81,0,0,0,17,0,0,0,0,0,0,0,30,0,0,0,0,32,0,0,0,0,0,0,24,0,0,0,8,24,0,8,0,33,0,0,0,31,0,0,0,0,0,0,0,0,0,24,0,0,33,0,0,31,0,0,34,0,0,0,0,0,12,0
2012-01-01,14,0,0,33,0,0,15,0,0,36,0,0,0,0,0,0,57,28,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,100,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,26,7,7,0,0,0,0,0,19,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,28,28,28,0,0,0,0,0,0,19,7
2012-02-01,16,0,0,17,0,0,23,0,0,0,0,37,0,0,0,0,73,0,0,0,0,17,0,0,5,14,0,0,0,17,0,0,17,38,0,0,25,5,0,0,0,14,13,0,0,0,0,0,0,30,0,0,30,0,0,67,67,22,0,0,22,0,30,8,23,0,31,0,0,0,57,0,0,0,0,23,0,23,22,0,22,0,0,31,0,0,29,29,0,0,0,0,0,0,0,27,0
2012-03-01,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,5,61,28,0,0,0,14,0,0,0,13,13,14,0,0,0,0,17,50,25,0,0,10,0,0,0,0,0,0,0,27,0,0,0,0,29,0,0,0,0,0,0,21,0,0,0,0,22,15,7,0,30,0,0,0,18,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,56,28,0,0,0,0,0,0,0,15,0
2012-04-01,7,0,0,0,0,0,15,0,0,38,0,0,0,0,0,5,44,29,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,8,0,0,0,0,0,49,19,0,0,0,24,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,32,0
2012-05-01,5,0,0,17,0,0,5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,22,0,0,0,0,31,8,0,0,0,0,0,0,19,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,8,0,23,0
2012-06-01,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,17,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,84,0,28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,34,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,32,0,0,0,0,0,0,0,0,13,0
2012-07-01,6,0,0,18,0,0,11,0,0,0,0,0,0,0,0,0,21,30,0,0,0,16,0,0,5,0,0,0,0,0,0,0,37,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,8,24,0,8,0,0,0,0,0,20,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2012-08-01,8,0,0,0,0,0,10,0,0,0,0,38,0,0,0,0,26,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,18,0,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,12,0,0,0,31,0,0,0,58,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,27,0
2012-09-01,14,17,0,0,0,0,7,0,0,37,37,0,0,0,0,0,38,0,28,0,0,10,0,0,5,14,0,14,0,0,0,0,0,26,0,0,25,11,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,8,0,31,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,29,0,0,0,0,32,0,0,0,8,0
