date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,flu like symptoms,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,arizona flu,flu headache,flu vs. cold,high fever,medicine for flu,flu treatments,cold vs flu,fight the flu,influenza symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,influenza incubation period,thermoscan,how to treat the flu,flu virus,how long does the flu last,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,symptoms,signs of flu,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,stomach,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2012-04-01,13,0,0,0,33,6,6,0,6,24,25,0,0,1,1,41,1,1,0,1,8,7,0,7,0,6,6,0,0,6,6,31,9,0,0,29,14,0,0,0,2,0,14,5,0,47,0,0,8,0,14,21,0,34,22,0,23,0,14,14,21,3,10,7,3,0,0,0,73,0,0,6,45,13,13,0,26,0,62,0,0,0,7,0,0,10,41,15,10,9,0,18,0,6,6,55
2012-05-01,9,0,33,0,0,0,0,6,6,24,24,0,0,0,3,26,1,1,0,1,8,0,0,4,0,0,0,0,0,0,6,27,6,0,28,0,28,0,0,0,0,0,5,0,0,31,8,0,0,0,0,0,28,45,0,0,0,7,21,0,7,3,7,7,0,0,0,0,73,0,0,0,21,0,13,0,13,0,68,0,0,0,0,7,7,10,20,10,10,0,9,23,9,0,0,72
2012-06-01,7,0,0,0,0,0,0,7,7,0,0,0,0,0,0,36,2,2,0,1,4,0,0,6,4,0,13,0,0,0,7,16,7,0,0,0,0,0,0,0,0,0,0,10,0,37,0,0,0,0,0,15,0,36,0,0,0,0,11,0,7,0,4,4,5,0,0,0,84,0,0,6,29,0,0,0,14,0,65,0,0,8,0,8,0,0,22,11,11,10,0,0,0,6,6,62
2012-07-01,5,0,34,0,0,0,6,0,6,0,51,0,25,0,1,25,1,1,0,0,4,4,0,4,4,0,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,40,0,0,0,14,14,0,0,23,0,0,23,0,11,0,14,0,3,7,3,0,0,0,74,0,0,9,22,13,0,0,13,0,61,0,1,0,0,0,0,10,21,11,0,0,0,0,0,0,6,21
2012-08-01,9,0,0,0,0,0,0,6,15,24,0,0,0,0,3,26,0,1,0,0,6,5,0,0,0,0,6,0,0,0,0,24,0,0,14,0,0,0,0,0,2,0,18,0,0,11,0,0,8,0,14,28,14,22,0,0,22,7,17,0,0,0,10,18,3,0,0,0,73,0,0,12,26,0,0,0,49,0,57,0,0,14,0,7,0,0,0,0,20,0,27,0,0,0,6,68
2012-09-01,14,0,0,30,0,0,6,0,11,0,44,0,22,0,1,42,2,3,0,0,10,0,0,8,3,6,28,0,0,0,0,42,6,0,13,13,0,0,0,0,4,4,6,4,0,49,11,0,21,13,13,19,26,20,0,0,0,6,19,13,6,6,9,26,3,0,0,0,77,5,0,16,44,0,12,0,11,0,53,0,0,6,0,6,0,0,19,14,18,0,25,8,0,5,0,68
2012-10-01,21,0,0,0,0,0,0,11,19,0,45,0,0,0,2,42,2,2,0,1,10,0,0,7,3,0,17,6,0,0,0,30,6,0,13,0,0,0,0,0,1,8,23,0,0,21,0,0,7,13,13,26,0,0,20,0,0,0,6,0,19,3,8,37,3,0,0,0,78,0,0,11,30,12,12,0,12,0,60,0,0,19,0,13,0,0,32,0,14,8,8,8,0,5,5,71
2012-11-01,18,0,0,0,0,0,6,6,6,46,23,0,23,0,2,57,2,2,0,0,12,0,0,10,0,0,12,0,0,11,0,26,6,0,26,13,0,0,0,0,2,6,15,4,0,32,7,0,7,0,20,26,0,21,21,0,0,0,13,6,10,9,3,14,3,0,0,0,76,0,0,20,25,0,18,0,12,0,64,0,1,0,0,10,0,0,42,9,19,9,13,13,0,0,0,54
2012-12-01,24,0,0,30,0,0,0,6,19,22,0,0,0,0,2,54,6,3,0,0,25,13,0,23,0,6,17,0,0,0,6,28,11,26,38,13,26,0,0,0,2,8,15,4,0,35,11,0,10,13,13,19,13,0,21,0,0,9,25,6,25,3,5,23,3,0,0,0,67,5,5,14,38,11,17,11,11,0,59,0,0,16,0,16,0,0,28,14,23,12,8,21,0,5,5,76
2013-01-01,89,39,66,52,0,7,5,10,50,48,58,0,29,2,6,85,25,8,0,1,73,8,0,83,18,15,49,0,5,10,10,55,31,0,89,44,11,0,0,0,8,25,100,11,0,85,18,6,39,22,72,67,28,53,36,36,18,11,52,41,90,32,17,50,13,1,0,0,83,35,5,95,66,20,70,15,20,1,72,1,3,8,6,61,5,32,56,40,100,40,69,40,7,11,11,100
2013-02-01,24,0,31,0,61,0,0,8,8,22,45,0,0,0,3,59,8,4,0,0,23,10,0,29,8,11,34,0,0,6,11,28,6,13,13,13,13,0,0,0,2,13,8,8,0,39,7,7,11,0,32,13,13,51,31,0,21,13,16,22,41,14,3,15,3,0,0,0,78,8,5,33,27,11,12,0,23,0,53,0,2,16,0,16,0,9,37,14,19,17,29,33,0,8,5,77
2013-03-01,14,25,0,0,25,5,5,0,7,18,36,0,0,0,1,50,8,2,0,1,13,3,0,17,5,0,0,5,0,5,5,23,5,10,31,0,10,0,0,1,1,3,10,0,0,38,6,0,6,21,11,21,0,42,0,0,0,5,31,13,18,8,4,11,5,0,0,0,75,0,0,9,36,0,38,0,24,0,69,0,1,5,0,11,10,0,27,11,26,7,14,7,0,4,0,73
2013-04-01,14,0,50,0,0,0,5,5,9,54,36,0,18,0,0,37,2,2,0,2,16,5,0,12,0,9,14,0,0,5,9,23,5,11,0,0,0,0,0,0,2,0,14,0,0,37,11,0,12,0,21,31,10,34,17,0,33,5,46,5,18,10,5,5,4,0,0,0,74,22,0,18,29,0,24,0,19,0,78,0,1,21,0,21,0,0,23,19,15,7,14,14,7,4,4,52
2013-05-01,11,0,0,0,26,0,0,5,10,0,19,0,19,1,2,43,2,1,0,0,10,0,0,6,0,5,14,0,0,10,0,17,5,11,33,0,0,0,0,0,3,0,7,4,0,21,0,0,12,0,11,11,0,18,0,0,17,0,13,5,5,0,4,8,0,0,0,0,72,5,9,9,21,0,10,0,20,0,78,0,0,0,0,11,0,8,32,8,16,11,22,14,0,4,0,52
2013-06-01,7,29,0,0,0,0,0,0,0,22,33,0,22,0,3,23,3,1,0,1,6,0,0,6,0,5,11,5,0,0,0,19,5,0,13,0,0,0,0,0,0,0,4,0,0,31,0,0,0,0,0,19,12,40,0,0,0,0,12,0,15,0,6,6,3,0,0,0,75,5,0,5,19,0,11,0,17,0,71,0,0,6,0,6,0,0,36,9,9,8,0,12,0,5,0,66
2013-07-01,5,0,0,0,0,0,5,0,8,22,43,0,0,0,2,29,0,1,0,1,5,3,0,3,0,5,5,0,0,0,0,16,5,0,0,0,0,0,0,0,0,4,6,4,0,14,7,0,0,0,0,12,0,40,0,0,0,0,24,0,12,0,3,6,0,0,0,0,77,0,0,16,26,0,0,0,0,0,73,0,0,6,0,6,0,0,9,18,9,8,8,8,0,0,0,46
2013-08-01,7,28,0,0,0,0,0,0,15,0,20,0,20,0,1,30,1,2,0,0,4,0,0,4,0,0,15,0,0,0,5,10,5,0,12,0,0,0,0,0,1,0,6,0,0,35,6,0,6,0,0,0,0,28,0,0,0,0,17,0,6,3,3,7,0,0,0,0,67,0,0,10,22,0,10,0,10,0,70,0,0,0,0,6,0,0,34,13,13,0,0,8,0,0,5,72
2013-09-01,17,0,0,29,0,0,0,5,5,0,42,0,0,0,1,40,3,1,0,1,10,0,0,9,5,0,16,0,5,0,0,18,5,0,24,0,0,0,0,0,1,10,14,0,0,46,0,0,7,0,18,12,0,29,0,0,19,0,18,12,12,4,4,39,3,0,0,0,73,5,0,10,31,0,22,0,33,0,67,0,0,6,0,0,6,0,26,13,13,0,0,8,8,5,0,42
2013-10-01,24,0,0,0,0,0,0,0,15,100,20,0,0,1,0,53,3,3,0,1,16,3,0,7,0,20,20,0,0,0,5,25,15,0,11,0,0,0,0,0,1,11,22,4,0,28,0,6,6,0,11,17,17,46,0,0,18,6,14,0,34,7,3,46,8,0,0,0,68,10,0,15,37,15,0,10,15,0,64,0,0,6,0,11,6,0,12,17,29,0,15,11,7,9,0,78
2013-11-01,21,29,28,0,28,0,10,5,13,0,42,0,0,0,3,50,4,3,0,0,17,5,0,14,3,0,37,0,0,5,0,31,5,0,36,0,12,0,0,0,2,16,8,8,0,43,0,0,10,0,0,24,0,19,0,0,19,0,9,12,29,6,7,31,9,0,0,0,68,5,5,10,41,11,21,0,11,1,64,0,1,0,0,12,0,13,39,13,22,16,20,8,0,0,5,42
2013-12-01,21,26,78,0,78,5,5,0,7,19,19,0,19,0,2,52,5,4,0,1,20,3,0,17,3,5,19,0,0,0,0,36,9,11,22,22,0,0,0,0,2,7,16,7,0,33,6,6,9,22,33,16,11,17,0,0,18,5,19,16,19,5,10,16,8,0,0,0,64,5,5,26,16,10,15,10,10,0,63,0,1,8,0,16,0,8,20,16,16,7,25,14,7,4,0,76
2014-01-01,48,24,0,37,24,4,0,11,31,0,36,0,54,1,0,73,13,6,0,0,44,5,0,48,5,13,54,0,0,0,11,62,27,21,31,31,0,0,0,0,5,3,35,5,0,54,11,11,25,10,41,26,15,33,65,16,16,5,35,43,58,18,44,28,11,1,0,0,72,4,0,53,50,9,28,0,18,0,77,1,1,10,5,33,0,11,30,26,52,20,27,30,0,8,6,93
2014-02-01,28,0,26,53,0,5,5,7,24,19,29,0,0,1,2,76,4,4,0,1,29,6,0,17,4,5,34,0,0,5,0,31,17,0,33,0,0,0,0,0,4,7,27,7,0,67,0,0,18,11,61,22,22,71,0,0,18,5,30,16,27,7,12,11,9,0,0,0,65,12,5,47,40,20,15,10,10,0,74,0,2,6,5,28,0,12,36,16,28,14,36,14,0,11,9,70
2014-03-01,13,0,74,25,49,0,4,4,9,36,36,0,0,0,2,50,5,2,0,0,15,5,0,15,5,0,14,0,0,0,5,25,14,0,0,0,10,0,0,0,2,3,12,3,0,51,6,0,9,0,21,10,10,33,17,0,0,5,23,10,20,11,6,5,0,0,0,0,65,4,0,18,38,9,19,0,0,0,76,0,0,0,0,5,5,0,30,30,26,14,7,17,7,9,0,71
2014-04-01,14,0,0,0,48,4,0,4,15,18,44,0,0,0,1,49,5,3,0,1,13,4,0,18,3,0,31,0,0,0,7,28,4,0,20,0,0,0,0,0,2,10,12,3,0,50,0,0,11,0,10,15,20,16,0,0,16,10,20,0,25,4,7,10,7,0,0,0,73,4,4,17,24,9,0,0,9,0,79,0,1,8,0,8,5,0,55,11,15,7,7,20,0,0,0,52
2014-05-01,12,0,24,0,25,4,0,9,9,18,18,0,0,0,0,39,3,1,0,1,10,3,0,10,3,18,5,0,0,0,0,29,9,0,0,10,10,0,0,0,1,3,8,3,0,40,6,0,6,10,31,15,0,41,0,0,33,5,25,20,15,9,5,2,2,0,0,0,64,4,0,13,26,9,14,0,9,0,78,0,0,5,0,15,0,7,48,33,15,27,7,13,0,8,4,59
2014-06-01,8,29,0,0,0,0,0,0,5,64,0,0,0,1,1,34,3,1,0,0,6,0,0,9,0,0,11,0,0,0,0,48,5,12,12,0,12,0,0,0,0,4,8,4,0,30,0,0,0,0,0,12,0,20,0,0,0,0,12,9,0,4,7,6,3,0,0,0,66,5,0,10,13,11,0,0,16,1,72,0,0,6,0,6,0,0,22,9,9,0,0,24,8,5,0,45
