date,flu,influenza a and b,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,how long contagious,i have the flu,low body,flu treatment,man flu,is the flu contagious,flu shot,flu vs cold,flu symptoms 2018,human temperature,high fever,cold vs flu,dog flu,influenza symptoms,the flu virus,side effects of flu shot,influenza incubation period,thermoscan,normal body temperature,how long does the flu last,cdc flu map,fever flu,stomach flu,how long does flu last,influenza a,swine flu,flu cough,contagious flu,signs of flu,normal body,is flu contagious,ear thermometer,flu fever,symptoms of the flu,taking temperature,keto flu,flu contagious,bronchitis,flu symptoms 2017,symptoms of bronchitis,oscillococcinum,flu medicine,flu shot side effects,body temperature
2015-08-01,13,0,28,0,0,20,0,14,13,0,0,0,0,59,20,0,0,56,0,0,0,6,39,0,56,27,39,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,34,0,0,56,0,30,11,0,0,0,0,0,25
2015-09-01,18,0,46,0,0,19,0,13,8,0,0,0,21,54,19,24,0,39,0,0,0,23,0,0,0,38,0,31,0,0,0,0,0,33,0,0,0,0,0,6,0,0,0,0,23,0,32,0,0,0,0,0,45,0,0,0,0,0,40
2015-10-01,49,0,60,18,0,26,0,28,8,0,18,0,20,0,17,22,0,24,0,0,0,73,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,20,0,0,0,0,0,0,14,0,0,0,34,0,0,0,14,0,29,0,0,82,22
2015-11-01,35,64,66,0,37,0,0,25,23,0,36,30,0,0,0,34,0,25,0,0,0,32,0,0,0,0,0,0,12,0,0,0,0,0,0,0,71,20,40,0,0,0,32,0,22,0,0,71,0,0,0,0,62,0,0,35,61,0,23
2015-12-01,22,63,61,0,0,17,0,22,15,0,0,0,40,0,17,23,0,0,31,0,33,10,34,0,49,0,34,0,0,0,0,0,0,31,0,0,47,35,0,6,0,0,0,0,0,0,0,47,35,49,0,0,42,0,29,0,60,0,0
2016-01-01,24,52,47,15,45,29,0,18,16,0,15,0,16,0,0,28,0,41,26,50,0,7,0,0,0,0,0,49,0,0,0,0,0,26,0,100,0,65,0,0,0,0,0,0,18,0,0,0,29,0,0,0,47,0,24,0,100,0,19
2016-02-01,23,0,52,46,62,15,0,32,33,0,46,0,17,0,15,29,0,0,0,0,57,9,0,0,43,41,0,51,10,0,0,0,0,0,39,0,0,38,0,10,0,0,82,0,18,57,0,0,0,0,0,68,40,0,25,0,0,0,25
2016-03-01,22,0,67,29,59,28,0,25,16,0,22,24,24,42,28,73,45,40,0,0,0,0,0,0,40,19,0,0,10,0,0,0,0,0,38,0,38,28,32,29,0,0,0,0,18,0,0,38,0,0,28,0,27,0,0,0,49,0,36
2016-04-01,11,0,29,29,60,0,0,18,19,0,29,0,16,42,0,18,0,20,0,49,0,4,0,0,0,19,0,0,10,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,30,0,0,0,0,0,29,0,31,0,0,0,49,0,24
2016-05-01,11,0,41,16,32,15,0,19,7,0,16,0,0,0,15,20,0,22,27,0,0,0,0,0,44,21,0,0,0,0,0,0,0,28,0,0,0,13,0,0,0,0,0,0,32,0,0,0,0,0,0,0,37,0,26,0,0,0,13
