date,flu,bird flu,cure the flu,flu season,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,flu children,incubation period for flu,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,flu hawaii,flu vs cold,flu and fever,flu care,flu headache,flu symptoms 2018,human temperature,high fever,spanish flu,medicine for flu,cold vs flu,influenza symptoms,the flu virus,reduce fever,thermoscan,normal body temperature,how long does the flu last,fever flu,stomach flu,how long does flu last,food poisoning,flu symptoms 2016,swine flu,flu cough,contagious flu,flu report,signs of flu,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,tamiflu,flu map,cdc flu,taking temperature,flu symptoms 2019,flu shot symptoms,keto flu,flu contagious,bronchitis,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,flu shot side effects,treat flu,body temperature,h1n1 flu
2013-06-01,16,0,0,0,31,18,0,51,0,24,8,0,17,0,62,37,38,33,0,22,36,38,0,0,0,0,14,0,0,0,0,0,0,41,0,0,0,0,0,0,0,38,0,0,62,26,47,0,8,0,31,0,41,0,0,0,0,0,0,0,39,10,0,36,37,0,0,0,31,39,19,75,0,0,0,0,0,0,36,0
2013-07-01,6,0,82,0,46,0,68,0,0,9,10,33,0,0,38,33,0,0,0,0,0,17,19,0,0,4,10,0,0,0,0,0,33,28,0,0,0,0,0,0,0,17,0,33,26,0,39,0,0,0,0,0,0,18,0,0,0,0,22,0,0,9,0,0,34,0,0,41,0,57,18,34,0,0,38,0,0,0,46,0
2013-08-01,12,17,0,18,25,0,27,23,0,4,7,32,0,0,0,0,23,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,32,36,0,34,0,0,0,35,0,17,0,0,42,0,31,0,0,32,0,0,0,69,0,0,0,68,0,65,0,9,0,0,0,0,0,0,0,26,34,33,0,0,37,30,0,0,51,0
2013-09-01,27,0,0,0,59,16,28,23,0,27,20,0,15,0,29,34,23,61,0,0,33,44,20,0,0,52,36,17,0,0,0,0,34,19,0,0,17,0,0,0,0,18,0,23,40,0,18,0,7,0,56,0,38,18,0,0,0,0,0,0,36,9,0,67,0,0,0,0,56,36,18,0,0,0,0,31,20,0,27,0
2013-10-01,25,17,0,18,38,16,80,23,0,19,12,32,15,45,0,0,23,0,0,0,0,51,19,0,0,40,16,16,35,0,39,0,32,36,31,0,16,38,33,0,39,25,0,44,8,23,45,0,13,32,0,0,0,34,0,0,0,34,44,0,34,0,29,32,66,0,35,0,0,38,17,33,34,0,0,0,48,0,51,0
2013-11-01,19,0,0,17,33,15,52,43,0,17,19,0,14,0,0,0,33,0,0,19,0,0,27,0,0,25,15,0,0,55,0,0,0,26,30,0,0,0,0,34,0,49,0,21,45,23,47,0,0,31,26,31,35,33,0,0,0,33,21,0,33,9,0,0,0,0,0,0,26,41,16,0,33,0,0,0,19,0,62,0
2013-12-01,25,17,0,18,43,24,0,23,0,28,24,0,15,0,0,32,34,0,0,0,32,17,19,0,0,18,19,0,0,56,39,0,32,18,31,0,0,0,33,0,39,17,0,44,51,0,70,0,0,0,27,0,0,69,0,31,0,34,44,64,0,23,0,48,0,0,0,0,27,47,52,0,0,0,0,30,0,37,45,16
2014-01-01,48,31,71,0,60,42,47,41,30,44,45,0,40,0,41,0,30,39,0,70,28,16,0,0,0,27,22,21,31,100,35,0,29,32,28,0,21,33,30,0,34,30,27,58,98,41,84,0,30,0,48,0,64,46,27,55,0,31,0,57,31,28,26,0,30,0,0,0,48,61,61,0,30,0,33,53,0,49,80,58
2014-02-01,32,25,0,0,68,46,52,22,0,42,47,31,72,0,45,31,22,0,0,19,0,33,0,0,0,12,12,31,67,54,0,0,31,70,0,33,31,73,0,0,0,16,60,84,54,23,51,0,0,31,26,0,0,0,0,30,0,33,0,0,34,22,0,31,0,0,0,0,26,75,17,32,67,0,36,58,18,0,31,16
2014-03-01,21,17,0,18,73,16,80,0,0,19,34,0,15,0,18,0,23,29,0,39,32,35,0,0,0,6,6,16,69,0,0,0,0,36,31,0,16,0,34,0,0,17,0,44,64,0,84,0,0,32,27,0,0,34,31,0,0,0,44,65,0,27,0,0,0,0,35,0,27,77,17,33,0,31,0,30,0,0,26,16
2014-04-01,14,18,0,18,81,16,41,23,35,13,7,0,0,0,19,66,23,30,0,60,0,26,0,0,0,10,6,0,0,0,0,0,0,37,0,0,0,0,34,0,40,35,32,22,48,48,57,0,7,33,0,0,0,35,0,0,0,70,22,66,35,19,0,33,34,0,0,0,0,70,0,0,35,0,38,61,0,38,39,0
2014-05-01,19,44,0,18,72,33,55,0,0,20,22,0,0,0,37,0,0,0,100,20,33,17,0,0,0,8,10,16,35,58,0,0,0,18,0,0,16,0,0,72,0,0,0,33,52,0,53,0,0,0,56,0,37,0,0,0,0,0,22,0,53,9,0,33,33,0,0,0,56,61,36,0,0,0,0,0,0,0,39,0
2014-06-01,15,0,0,0,81,0,96,0,0,8,23,0,0,0,22,57,0,0,0,23,0,0,23,0,0,5,15,0,0,0,93,0,0,86,37,41,0,0,40,0,0,0,0,26,30,0,46,0,8,0,0,0,0,20,0,0,0,0,26,0,0,11,0,0,0,0,0,0,0,71,0,39,0,0,44,0,0,44,53,0
2014-07-01,10,0,0,0,55,0,30,0,0,14,11,0,0,0,0,36,0,32,0,22,0,19,0,0,71,4,7,0,38,0,0,0,36,20,34,0,0,0,0,0,0,19,34,24,52,26,54,0,0,0,30,0,0,57,34,0,0,0,0,0,0,10,0,0,0,0,0,0,30,53,38,0,39,0,0,0,0,0,43,0
2014-08-01,12,20,0,10,47,9,23,0,20,7,13,19,0,0,16,19,0,0,0,0,0,15,11,0,0,5,7,9,0,0,0,0,0,31,18,20,9,0,0,31,45,10,0,13,32,14,28,0,4,18,0,0,0,30,0,0,0,20,13,0,0,5,0,0,0,0,0,0,0,45,20,19,0,0,21,17,0,0,30,19
2014-09-01,25,0,0,29,39,13,15,37,19,21,12,18,16,0,0,18,25,0,0,22,17,9,10,0,0,31,12,9,0,62,0,0,18,30,17,19,9,0,0,39,22,28,0,12,28,26,48,0,4,18,0,0,0,66,0,0,64,0,0,0,0,8,16,18,18,0,19,0,0,62,9,18,19,0,30,16,11,0,42,9
2014-10-01,35,14,0,19,44,35,15,12,0,26,20,0,41,0,20,18,12,0,0,33,0,33,0,0,0,66,7,18,0,31,21,0,35,20,43,19,18,0,18,0,21,28,17,24,23,13,38,0,15,0,15,0,0,38,0,17,0,19,12,0,19,5,16,18,18,0,0,0,15,66,19,18,19,0,0,24,21,20,42,0
2014-11-01,22,13,0,0,62,23,20,0,25,38,21,24,33,0,20,24,17,0,0,14,0,38,14,0,0,31,14,0,26,0,0,0,24,33,0,0,0,0,0,52,0,19,23,16,38,17,54,0,10,0,0,0,27,51,0,0,0,0,16,48,0,7,0,0,0,0,26,0,0,66,0,49,25,0,27,22,21,55,52,0
2014-12-01,27,0,0,0,61,34,29,98,0,22,35,23,32,33,27,23,65,32,36,57,23,24,0,0,46,15,9,0,0,0,0,0,0,52,0,50,0,55,24,51,28,12,45,16,37,34,60,0,0,0,20,0,0,50,22,22,0,0,0,47,25,26,21,35,0,0,0,0,20,59,25,24,0,22,53,21,0,27,32,0
