date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,human temperature,medicine for flu,flu treatments,cold vs flu,influenza type a,flu a symptoms,influenza symptoms,the flu virus,how to treat flu,cdc,type a influenza,influenza incubation period,thermoscan,how to treat the flu,nc flu,how long does the flu last,flu virus,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,cdc flu,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2012-10-01,17,0,17,17,0,0,0,0,4,0,19,0,0,0,69,4,2,0,0,12,7,0,7,1,9,22,0,0,44,2,0,17,0,0,9,6,0,0,0,0,1,6,35,0,29,6,6,9,6,10,7,0,3,44,0,0,1,0,21,0,4,14,1,6,32,0,10,0,4,4,0,14,18,9,5,5,12,0,5,0,3,2,2,7,10,55,1,5,3,11,19,9,0,0,0,60
2012-11-01,17,19,19,29,19,0,2,0,9,21,0,0,0,1,69,3,3,0,0,10,11,0,5,2,13,24,0,0,19,0,0,36,5,7,10,7,0,0,0,0,1,16,20,0,23,7,0,13,0,8,0,4,4,32,0,0,0,1,13,2,4,20,3,11,22,4,10,0,3,8,2,21,9,8,0,5,8,3,3,15,6,3,0,13,10,61,1,4,5,5,7,14,5,9,3,59
2012-12-01,39,21,21,41,21,5,0,0,15,34,57,11,23,1,78,27,8,0,0,42,45,0,46,9,32,48,16,5,32,15,3,45,6,15,29,33,7,0,1,1,2,43,21,0,14,22,0,25,22,29,16,37,4,39,2,0,1,1,43,12,17,22,21,9,33,7,51,3,3,11,2,52,11,20,57,6,20,7,23,43,0,4,5,30,51,99,3,6,8,13,47,26,0,12,5,69
2013-01-01,44,17,50,67,0,0,0,2,21,9,37,18,0,1,75,22,5,0,0,33,34,0,36,3,33,51,0,13,34,2,0,36,7,18,47,15,12,0,1,1,2,37,29,0,12,20,9,17,0,27,3,17,10,38,0,0,0,2,44,12,14,41,20,11,35,10,31,0,9,18,4,48,18,9,32,14,14,3,8,50,13,4,3,31,31,82,3,7,10,19,38,38,6,16,5,41
2013-02-01,15,0,26,18,0,2,2,2,13,29,29,0,10,1,61,7,5,0,0,15,15,0,12,1,20,45,0,4,0,0,0,28,3,0,25,12,6,0,0,0,2,12,15,0,15,6,0,18,0,24,7,10,0,35,0,0,0,1,10,6,11,35,9,4,10,0,15,0,0,5,2,28,21,5,10,0,14,0,0,22,3,3,0,12,15,69,1,4,5,13,22,4,4,8,3,74
2013-03-01,12,23,15,16,31,0,0,4,2,9,34,0,9,1,59,7,4,0,0,14,11,0,12,3,14,28,4,0,16,7,0,29,0,16,27,14,11,0,1,1,1,5,8,0,8,11,11,11,5,25,6,9,9,33,0,0,0,1,9,7,11,49,8,6,5,2,11,0,2,9,0,25,14,4,19,4,11,0,0,27,0,4,2,8,11,62,1,5,6,8,10,6,0,10,2,52
2013-04-01,9,0,0,32,0,0,4,2,14,9,17,0,0,0,49,5,3,0,0,10,6,0,8,2,8,20,0,4,0,2,5,14,7,0,6,14,6,0,0,1,1,5,5,0,16,8,0,5,5,0,3,6,6,30,0,0,0,1,2,4,7,21,10,3,7,4,15,2,2,3,0,26,25,0,9,4,6,0,2,15,2,5,2,4,15,49,1,2,12,6,12,8,4,6,3,67
2013-05-01,5,16,0,0,0,0,0,4,2,0,0,0,0,1,40,1,3,0,0,5,4,0,2,1,7,16,0,0,0,0,2,16,0,6,11,6,0,0,0,0,0,0,0,0,27,5,0,0,5,0,3,6,3,31,0,0,0,0,3,2,3,10,4,4,8,2,2,0,0,2,0,3,19,0,4,0,0,0,0,2,0,6,0,2,2,40,0,1,5,8,4,4,0,2,0,51
2013-06-01,3,0,0,0,0,0,0,0,0,9,9,0,0,0,27,1,2,0,0,2,2,0,2,0,3,13,0,0,0,0,2,12,0,0,0,0,0,0,0,0,1,6,6,0,9,0,0,6,0,3,0,3,0,27,0,0,0,0,1,0,1,10,0,3,3,0,2,0,0,2,0,3,17,0,0,0,5,0,0,3,0,7,2,2,2,29,0,4,1,0,4,0,0,0,0,38
2013-07-01,3,0,0,0,0,0,0,0,4,0,9,9,0,0,25,1,1,0,0,2,2,0,1,1,1,0,0,0,0,0,0,7,0,0,6,0,0,0,1,0,0,6,11,0,12,0,0,0,0,7,3,0,0,30,0,0,0,0,5,0,2,10,0,1,3,0,0,0,0,0,0,2,11,5,0,0,5,3,0,3,0,2,2,0,0,23,0,1,2,4,0,0,0,3,0,27
