date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,pneumonia,flu how long,fever cough,flu arkansas,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,incubation period for flu,reduce a fever,how long contagious,type b flu,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu type a,flu care,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,flu a symptoms,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,how long does the flu last,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,tamiflu,treatment for flu,cdc flu,exposed to flu,flu contagious,flu length,bronchitis,stomach flu symptoms,symptoms of bronchitis,what is the flu,oscillococcinum,flu medicine,flu remedies,flu complications,signs of the flu,how to get rid of the flu,body temperature
2011-12-01,6,0,0,0,0,0,0,0,0,39,0,0,39,58,4,0,0,0,0,6,4,0,7,7,11,26,0,0,0,0,0,50,0,32,0,0,0,3,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,35,28,0,0,0,0,0,0,68,0,0,0,0,0,0,7,0,0,0,0,0,0,50,11,11,21,0,22,22,0,0,0,16
2012-01-01,5,0,0,0,0,0,0,0,23,0,0,0,0,67,4,12,0,0,0,5,8,0,7,7,10,23,0,0,0,0,0,0,0,29,0,0,14,8,0,0,0,0,0,0,0,19,19,0,0,0,0,16,0,0,0,0,0,10,0,0,21,13,0,0,13,13,0,0,0,0,40,0,0,0,0,26,0,0,6,0,6,0,6,0,41,10,19,0,0,0,0,0,0,0,70
2012-02-01,9,0,0,0,0,0,24,0,0,0,0,0,0,40,4,7,0,0,0,8,7,0,7,0,7,0,0,0,0,0,0,30,0,0,0,15,15,3,0,0,0,0,0,0,0,0,38,19,0,0,16,17,0,0,0,0,0,32,0,0,21,13,13,13,13,13,0,0,0,0,42,0,21,0,11,16,11,0,3,3,3,0,6,0,64,10,20,0,10,20,0,0,0,0,43
2012-03-01,7,0,0,0,0,0,0,0,0,0,0,0,0,55,4,9,0,0,0,5,8,0,7,0,10,24,0,0,0,0,0,53,0,0,0,0,0,3,0,0,0,12,12,0,0,0,48,0,0,0,0,17,33,0,42,0,0,0,0,0,0,13,0,0,13,39,0,13,0,0,21,21,0,11,11,22,0,3,9,0,6,0,18,0,49,10,10,10,0,0,0,0,0,0,29
2012-04-01,5,0,0,0,0,0,0,0,0,36,0,0,0,47,0,4,0,0,1,5,4,0,0,0,21,24,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,20,59,0,0,0,0,34,0,0,43,0,0,11,0,0,0,13,0,13,13,13,0,0,13,0,32,0,0,0,0,0,0,3,0,0,0,0,6,0,34,0,0,10,0,0,0,0,0,0,59
2012-05-01,2,0,0,0,0,0,0,24,0,0,0,0,0,37,4,7,4,0,0,4,5,0,7,0,0,24,0,0,0,0,0,23,0,45,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,43,0,0,0,0,11,11,13,13,0,13,0,0,0,0,0,42,0,0,0,0,11,0,3,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,58
2012-06-01,2,0,0,0,0,0,0,0,0,0,0,0,0,45,4,0,4,0,0,4,1,0,7,0,7,0,0,0,0,0,0,16,0,48,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14,28,21,0,0,0,0,0,0,22,0,0,0,12,0,0,3,0,0,0,0,0,0,29,0,11,11,0,0,0,0,0,0,15
2012-07-01,3,0,0,0,0,0,0,0,0,36,0,0,0,29,0,0,0,0,0,1,4,0,0,0,7,24,0,0,0,0,0,23,0,0,0,0,0,3,0,0,0,0,0,0,12,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,10,0,0,0,0,0,0,0,57
2012-08-01,3,0,0,0,0,0,0,0,0,35,0,0,0,34,4,4,4,0,0,0,0,0,7,0,7,23,0,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,19,38,0,0,0,0,0,0,0,41,0,0,0,0,0,0,13,25,13,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,15,0,10,10,0,0,0,0,0,0,42
2012-09-01,6,0,0,0,0,0,0,0,46,0,0,0,0,37,5,0,4,0,0,5,5,0,10,0,7,23,0,0,0,0,0,30,0,58,0,0,0,11,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,13,38,13,0,0,0,0,0,40,0,0,0,11,0,0,3,3,0,5,0,0,0,21,0,10,0,0,0,0,0,0,0,28
2012-10-01,14,0,0,0,0,22,0,0,21,32,0,0,0,51,3,5,16,0,1,10,11,0,6,0,9,22,0,0,44,0,0,14,0,0,0,0,0,58,0,0,0,0,0,0,0,0,26,17,0,0,15,15,15,38,38,0,0,0,9,0,0,0,0,41,0,12,0,0,0,0,38,0,19,0,0,10,0,4,0,0,4,0,5,0,44,13,9,9,9,18,0,0,0,0,13
2012-11-01,10,0,0,0,0,0,0,22,0,0,0,0,0,50,0,3,8,0,0,4,7,0,0,0,12,0,0,0,22,0,0,35,0,0,0,0,0,26,0,0,0,22,0,11,11,18,18,0,0,0,15,15,0,0,0,0,39,10,0,0,0,12,0,36,12,12,0,0,12,0,29,0,0,0,0,30,0,6,4,0,3,0,6,0,62,9,9,9,0,0,18,0,0,0,66
2012-12-01,18,0,0,0,0,0,0,0,22,0,0,33,0,70,14,3,8,0,0,14,19,0,25,0,28,34,0,0,22,14,0,28,0,41,14,27,0,19,0,0,3,0,0,0,0,18,0,0,0,0,15,0,16,39,39,0,39,0,0,29,29,24,24,36,12,12,0,12,36,0,39,20,19,10,0,20,10,3,20,0,6,6,6,0,48,0,0,9,9,0,19,0,37,0,13
2013-01-01,57,35,53,0,0,0,0,40,100,30,0,90,30,88,35,8,48,0,1,41,60,0,65,17,62,71,0,0,81,13,0,70,19,25,0,0,0,62,0,0,0,0,61,0,10,24,32,32,0,14,14,0,14,71,35,35,0,9,0,18,54,27,44,71,22,60,11,0,22,17,70,18,52,0,18,32,18,22,83,5,14,10,28,0,79,8,0,21,8,51,42,0,0,0,61
2013-02-01,15,0,0,0,0,0,0,0,0,31,0,0,0,55,19,11,6,0,0,21,20,0,36,6,24,21,21,0,53,0,0,40,27,13,13,0,0,10,0,0,0,0,11,0,11,0,51,17,0,15,0,37,29,37,37,37,37,19,9,9,9,23,17,17,11,17,0,0,11,0,37,19,0,10,10,14,0,3,19,0,3,0,8,0,51,9,0,26,0,18,0,0,18,0,51
2013-03-01,14,0,0,0,0,0,0,39,0,29,0,0,0,59,11,9,6,0,0,6,18,0,20,0,11,20,0,0,20,0,0,38,0,49,0,0,0,0,0,0,3,0,0,0,0,16,72,0,0,0,0,14,0,0,0,0,0,0,9,0,0,22,11,11,0,43,11,0,11,17,18,18,0,0,0,0,0,5,8,0,0,0,20,0,50,8,16,16,0,17,34,0,17,0,84
2013-04-01,6,0,35,0,0,0,0,0,20,29,0,0,0,45,6,8,0,0,0,9,4,0,11,0,11,0,0,0,20,0,0,13,13,25,25,0,0,5,0,0,0,0,0,0,0,16,24,0,0,0,0,21,0,35,35,0,0,0,0,0,0,21,11,0,22,0,0,11,11,0,35,0,0,0,9,9,0,6,3,3,0,0,0,0,63,0,8,8,0,17,33,0,17,0,24
2013-05-01,3,0,0,0,0,0,0,0,20,0,0,0,0,31,0,5,3,0,0,3,0,0,0,0,6,20,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,10,0,0,0,16,49,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,44,0,8,0,0,17,0,0,0,0,48
2013-06-01,5,0,0,0,0,0,0,0,0,33,0,0,0,27,0,0,0,0,0,6,4,0,0,6,0,66,0,0,0,0,0,14,0,27,0,0,0,0,0,0,0,0,11,0,0,0,27,0,0,0,0,0,0,39,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,40
2013-07-01,2,0,0,0,0,0,0,0,0,0,0,0,0,23,3,6,3,0,0,0,3,0,6,0,6,0,0,0,0,0,0,25,0,37,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,20,16,0,0,0,0,0,0,0,0,60
2013-08-01,3,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,3,0,0,1,1,0,5,0,5,29,0,0,0,0,0,12,0,24,0,0,0,5,0,0,0,0,0,0,0,15,38,0,0,0,0,0,13,0,33,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,25,17,0,0,9,0,0,0,2,0,0,0,0,0,19,0,8,8,0,0,16,0,0,0,45
2013-09-01,7,0,0,0,0,0,0,0,0,0,0,0,0,54,3,0,4,0,0,9,1,0,5,0,0,0,0,0,0,0,0,11,0,11,0,0,0,19,0,0,0,0,0,9,0,0,22,0,0,0,0,0,0,0,32,0,0,0,0,0,0,10,15,39,0,15,0,0,0,0,39,0,0,0,0,16,0,0,2,0,2,0,7,0,25,0,7,22,0,0,0,0,0,0,87
2013-10-01,20,0,0,0,0,0,0,17,34,0,0,0,0,59,7,7,22,0,0,5,6,0,12,0,17,17,0,0,17,0,0,11,0,21,11,0,0,57,0,0,0,9,0,0,0,21,42,0,0,12,0,0,12,30,30,30,0,23,0,15,15,9,9,61,9,0,0,9,9,0,30,15,0,0,0,16,0,2,2,0,2,0,0,0,37,0,7,14,0,0,0,0,14,0,21
2013-11-01,14,0,32,0,0,0,0,0,0,0,0,0,0,61,3,3,3,0,1,13,7,0,5,5,5,27,0,0,18,0,0,35,0,34,11,0,0,43,0,0,0,9,0,0,0,15,51,15,0,0,0,13,0,0,64,0,0,24,8,0,0,0,20,25,10,0,0,0,10,0,48,0,16,0,0,24,0,0,2,0,2,0,0,0,62,15,15,11,0,0,0,0,0,0,22
2013-12-01,17,0,0,0,0,0,0,18,18,0,0,0,27,40,10,3,10,0,0,18,15,0,18,0,30,37,0,0,0,23,0,40,0,11,0,0,11,26,0,0,0,0,0,18,0,0,15,15,0,13,0,19,12,32,95,32,0,8,0,8,16,29,20,10,0,20,10,10,29,0,32,0,0,0,8,16,0,2,13,0,2,0,9,0,37,11,7,22,7,30,0,0,31,0,33
2014-01-01,51,30,59,0,0,0,0,25,58,25,0,100,0,80,27,5,45,0,0,43,52,0,50,9,52,42,17,0,34,11,0,48,0,0,10,0,31,70,0,0,0,25,50,0,17,20,34,13,0,12,12,58,12,44,0,29,0,15,7,15,37,27,50,46,32,54,9,18,41,15,66,22,0,8,8,38,15,11,41,2,5,8,26,0,100,7,24,21,7,28,28,0,49,0,100
2014-02-01,16,0,0,0,0,0,0,0,17,26,0,51,0,67,18,5,13,0,0,15,15,0,34,0,22,35,17,0,0,11,0,33,0,32,0,11,32,12,0,0,0,17,17,9,17,0,21,0,0,12,0,12,12,30,30,31,0,15,0,0,8,19,9,9,9,37,0,0,19,0,38,15,15,0,8,16,0,6,9,0,4,0,18,0,68,11,14,18,7,0,0,0,15,0,52
