date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,michigan flu,flu lasts,the flu,flu symptoms,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,flu in michigan,medicine for flu,cold vs flu,influenza type a,fight the flu,flu a symptoms,the flu virus,how to treat flu,reduce fever,cdc,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,treatment for flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,flu complications,signs of the flu,treat flu,how to get rid of the flu
2011-11-01,16,0,0,0,0,15,0,0,1,18,3,3,3,0,0,1,63,6,9,15,0,10,7,1,0,0,16,2,9,0,0,0,32,0,50,0,21,2,21,0,1,0,0,13,9,6,6,6,0,0,0,0,7,1,1,1,42,0,14,55,14,2,5,17,5,9,22,2,2,0,0,15,8,50,21,7,0,10,14,5,5,0,5,0,9,47,0,2,4,13,27,62,13,15,15,15,0
2011-12-01,18,0,0,20,20,6,0,0,1,12,9,0,0,0,0,1,47,7,5,7,0,10,10,1,0,7,13,12,5,0,0,0,11,0,51,0,36,1,15,0,0,0,9,9,9,18,24,6,0,0,0,0,14,1,1,1,33,0,14,28,14,3,5,57,4,8,7,0,0,0,16,16,0,43,7,14,18,10,15,0,5,14,9,0,23,66,0,5,3,9,9,9,23,0,0,16,0
2012-01-01,17,0,18,18,0,7,1,1,1,11,3,11,0,0,0,1,54,8,5,11,0,13,13,0,0,4,9,0,5,0,20,0,0,20,53,7,7,1,8,0,0,8,8,17,8,16,38,5,5,6,6,6,13,1,0,0,32,0,12,88,12,2,14,56,2,10,6,2,2,0,0,14,7,43,13,0,16,9,39,0,4,4,8,0,13,57,1,9,3,8,17,21,17,0,0,0,14
2012-02-01,16,0,33,33,33,11,0,0,0,7,3,5,0,0,0,1,56,8,11,14,2,15,11,0,0,0,13,4,11,9,18,0,0,19,31,12,19,1,2,0,0,16,16,8,8,5,52,0,0,12,6,6,9,1,1,2,34,12,12,24,0,4,2,54,4,8,8,6,0,0,13,13,0,77,12,6,12,8,6,0,8,8,4,8,8,51,2,10,4,12,16,27,35,0,27,54,14
2012-03-01,11,0,17,0,0,15,0,1,1,3,0,7,0,0,0,1,46,7,4,10,0,11,10,1,0,2,8,4,4,9,9,9,14,12,31,0,6,0,1,0,0,8,8,15,8,5,26,10,5,6,6,0,12,1,1,3,32,24,12,65,18,1,4,39,5,3,2,4,0,0,13,7,0,46,0,0,12,4,10,4,12,0,12,4,8,46,1,5,4,8,0,0,16,0,0,27,0
2012-04-01,8,0,0,17,17,9,0,0,0,3,0,3,0,0,0,1,37,5,4,8,0,6,6,0,0,0,5,0,4,0,0,9,0,19,25,0,25,0,0,0,0,8,8,8,0,26,32,0,0,6,0,0,6,1,0,1,34,0,0,48,0,6,4,20,4,8,7,2,0,0,0,0,0,50,13,0,6,6,11,0,4,0,4,0,8,44,1,2,3,0,16,8,8,0,0,0,0
2012-05-01,6,0,15,0,0,6,0,0,1,2,2,2,2,0,0,1,29,7,8,4,0,6,5,0,0,4,5,2,7,0,0,0,34,0,35,0,17,0,1,0,0,7,7,7,0,9,28,0,0,6,0,0,11,1,1,1,34,0,22,38,11,4,5,12,4,5,5,2,0,0,0,6,0,51,6,11,11,6,15,0,0,4,0,7,4,35,0,4,2,7,7,0,7,0,0,0,0
2012-06-01,4,0,0,0,0,3,1,0,0,0,2,4,0,0,0,1,30,4,3,3,0,3,4,0,0,0,7,2,3,0,8,0,0,0,51,0,0,0,1,0,0,0,0,13,6,13,21,0,0,0,0,0,10,1,0,1,32,0,0,29,0,2,2,16,2,6,2,2,0,0,0,11,0,38,0,5,5,3,7,0,0,0,7,0,0,31,0,2,1,0,0,0,0,0,0,11,11
2012-07-01,3,0,15,0,0,3,0,0,0,5,0,2,0,1,0,1,24,3,2,4,0,4,4,1,0,2,6,0,2,0,8,0,0,6,51,6,0,0,1,0,0,0,7,0,7,14,29,5,5,0,0,6,6,1,0,1,25,0,11,33,11,0,3,13,1,4,4,2,0,0,0,12,0,63,6,11,6,11,8,0,0,0,15,0,7,25,0,4,1,0,7,7,0,0,12,0,0
2012-08-01,9,0,0,0,0,3,0,0,0,13,5,2,0,0,0,1,26,4,3,9,0,4,6,0,0,0,11,0,3,0,0,0,8,6,51,0,0,0,1,0,0,0,0,0,0,19,19,19,0,0,0,0,11,0,0,1,33,0,11,27,0,0,3,13,0,36,7,2,0,0,0,6,0,36,0,0,0,8,8,4,4,4,4,0,4,26,0,2,2,7,0,7,0,0,0,0,0
