date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,flu 2019,incubation period for flu,reduce a fever,flu missouri,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,flu shot walgreens,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,medicine for flu,cold vs flu,influenza type a,fight the flu,flu a symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,thermoscan,normal body temperature,how to treat the flu,flu virus,fever flu,stomach flu,how long does flu last,swine flu,st louis flu,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,exposed to flu,free flu shots,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature
2012-12-01,23,0,28,28,27,19,1,1,2,7,2,5,0,1,0,51,11,2,0,0,23,4,0,23,5,11,28,6,0,0,12,0,6,19,37,7,15,0,14,0,2,13,13,32,19,0,20,53,12,6,0,0,34,22,11,22,0,0,9,5,23,17,62,4,11,11,4,4,20,0,11,0,51,16,20,8,12,10,7,36,13,4,7,20,0,0,36,0,15,20,12,24,20,5,12,5,64
2013-01-01,59,26,65,53,0,41,2,0,2,39,4,2,2,1,1,66,21,3,0,0,44,2,0,44,7,8,42,0,5,0,6,0,36,35,53,18,28,0,34,0,3,0,36,36,42,0,46,46,19,16,19,0,35,41,21,10,36,4,18,0,71,18,74,26,14,36,13,17,36,27,22,5,49,7,33,15,7,6,19,66,19,17,23,36,0,7,91,0,28,29,37,22,37,25,13,9,74
2013-02-01,19,27,26,27,27,14,1,0,3,3,6,4,0,0,0,46,8,1,0,0,18,2,0,18,2,11,16,0,5,0,3,0,12,14,60,0,14,1,3,0,0,12,12,12,0,0,43,47,15,5,5,0,13,21,10,41,10,4,16,4,16,8,78,6,2,11,15,4,13,5,11,5,48,0,15,0,19,0,6,41,6,0,0,13,4,0,21,0,42,15,7,45,8,9,5,5,52
2013-03-01,11,23,0,0,23,10,0,0,1,5,2,2,0,0,0,40,4,1,0,0,11,3,0,8,3,7,12,5,0,0,3,0,3,25,57,0,10,0,3,0,0,0,33,11,33,0,14,52,0,14,5,0,12,28,9,19,9,4,14,4,12,9,40,9,2,4,4,0,8,5,0,0,34,7,7,7,0,0,6,11,6,0,0,8,0,6,31,25,19,7,10,0,0,0,8,0,59
2013-04-01,9,0,47,0,23,7,0,0,1,2,3,0,0,0,0,44,2,0,0,0,7,0,0,4,2,0,5,0,0,0,3,3,3,6,32,0,6,0,3,0,0,11,0,22,11,0,17,45,0,0,0,0,14,14,9,19,0,4,12,0,12,4,20,5,2,11,8,0,4,5,10,0,19,13,13,0,0,0,8,31,6,0,4,4,0,0,12,25,12,10,20,10,0,8,6,4,50
2013-05-01,5,0,0,0,0,4,0,0,1,2,2,4,0,0,0,29,2,1,0,0,3,1,0,5,0,0,10,0,0,0,0,3,0,0,42,6,6,1,1,0,0,0,0,11,0,0,14,56,0,0,0,0,7,19,0,14,0,0,10,4,8,4,20,2,4,6,8,0,4,0,0,0,20,0,7,7,7,0,0,11,0,0,0,4,0,0,0,6,0,0,7,7,0,0,4,0,28
2013-06-01,4,0,0,0,0,4,0,1,0,0,4,4,0,0,0,28,1,1,0,0,3,2,0,3,0,5,8,0,0,0,0,0,0,0,31,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,5,0,8,10,0,10,10,0,9,0,13,2,22,0,4,4,4,0,0,0,0,0,10,0,0,7,7,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,33
2013-07-01,4,0,0,0,0,3,0,0,1,0,0,2,0,0,0,31,2,1,0,0,2,1,0,4,1,5,7,0,0,0,0,3,5,0,51,0,6,1,1,0,0,0,0,11,0,0,7,31,7,0,0,0,15,0,19,9,0,0,16,0,10,4,11,0,2,4,4,0,8,0,0,0,20,7,0,0,7,6,0,9,0,0,0,8,4,0,6,6,0,0,7,0,0,8,6,0,57
2013-08-01,5,0,0,0,0,3,0,0,1,6,3,3,2,0,0,24,2,2,0,0,4,0,0,4,0,0,21,0,0,0,0,0,4,6,25,0,9,0,3,0,0,0,0,11,0,0,20,47,7,0,0,0,19,9,9,18,0,0,10,0,6,0,7,0,4,0,0,0,4,0,5,0,19,6,6,0,0,5,5,0,5,4,0,4,0,0,0,0,0,6,13,0,6,4,0,0,61
2013-09-01,13,0,0,0,0,6,0,0,0,30,0,2,0,0,0,39,2,1,0,0,7,1,0,4,0,5,12,5,0,0,3,3,11,7,39,6,13,1,22,0,2,0,0,11,22,0,25,50,0,0,0,5,5,29,10,14,0,0,10,0,12,4,19,2,4,10,0,0,8,0,0,0,35,7,7,7,10,0,0,6,0,0,21,8,0,0,6,19,19,7,14,0,14,0,0,0,53
