date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,dc flu,how long is the flu contagious,medicine for the flu,treating flu,flu like symptoms,flu how long,fever cough,flu and cold,flu lasts,the flu,flu symptoms,flu shot cvs,flu game,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,spanish flu,flu treatments,cold vs flu,influenza type a,fight the flu,the flu virus,how to treat flu,reduce fever,cdc,cold symptoms,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,fever flu,stomach flu,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,how long is flu contagious,symptoms of the flu,cdc flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2011-12-01,13,0,0,27,0,0,0,52,0,12,0,0,5,0,0,0,0,4,12,6,0,6,15,1,0,0,5,0,20,11,0,0,8,0,38,0,29,0,0,0,12,0,14,0,0,0,0,23,15,0,23,0,0,1,0,1,30,54,0,6,16,13,0,0,16,4,11,8,0,0,0,9,0,29,0,15,0,0,0,11,23,11,11,0,11,66,0,3,5,35,18,0,0,0,0,77
2012-01-01,19,0,0,26,0,0,0,100,0,9,0,0,7,0,0,0,40,14,4,4,0,11,19,1,1,0,15,0,10,7,0,0,0,0,32,14,28,1,0,0,8,0,0,0,14,0,15,37,44,0,0,0,0,2,0,1,36,46,0,0,25,12,10,25,82,8,8,0,0,0,0,18,0,14,0,14,0,56,0,0,17,11,0,0,21,52,0,10,2,17,17,0,0,7,0,81
2012-02-01,16,0,0,13,0,0,0,0,0,5,0,0,5,0,0,0,30,8,6,0,0,12,18,0,0,0,10,0,0,0,0,0,0,0,47,9,23,1,1,0,3,0,14,0,14,0,30,30,52,0,22,0,0,0,0,1,42,56,0,0,22,10,10,10,81,4,10,4,0,0,0,0,0,14,0,42,0,22,0,0,22,22,0,0,11,46,0,5,0,17,0,0,0,7,0,90
2012-03-01,11,0,0,23,0,0,0,0,0,4,0,0,6,18,0,0,26,4,9,5,0,8,11,0,2,0,4,4,4,10,0,0,0,0,44,0,28,1,1,0,4,0,0,12,0,0,13,26,32,0,0,0,0,0,0,2,37,27,0,0,11,4,4,7,42,5,4,0,0,0,0,8,0,12,0,12,0,15,0,10,10,0,9,0,28,35,0,6,2,15,15,0,0,0,0,36
2012-04-01,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,41,3,10,3,0,4,8,0,1,0,4,0,16,6,0,0,6,0,34,15,19,0,0,0,2,0,0,23,0,0,24,36,36,0,0,0,0,1,0,0,35,25,0,10,10,8,4,4,34,3,3,3,0,0,0,7,0,0,0,0,0,9,0,0,18,9,17,0,9,50,0,6,5,0,28,0,0,0,0,60
2012-05-01,8,0,0,21,0,0,0,41,0,4,0,0,0,16,0,0,49,5,13,7,0,7,9,0,1,0,4,0,8,12,0,0,0,0,15,0,26,2,0,0,0,0,0,11,11,0,12,48,18,0,0,0,0,0,0,1,33,32,0,5,7,4,0,12,18,7,0,0,0,0,7,0,0,11,0,0,0,27,0,0,9,0,17,0,0,35,0,2,2,14,14,0,0,6,0,57
2012-06-01,5,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,15,6,12,3,0,4,5,0,3,0,0,0,0,6,0,0,0,0,32,0,14,0,1,0,2,0,0,0,0,0,11,39,0,0,0,0,0,1,0,1,39,23,0,5,12,6,0,0,19,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16,0,8,33,0,3,6,0,0,0,0,0,0,39
2012-07-01,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,26,5,7,3,0,6,5,0,0,0,8,0,9,6,0,0,0,0,36,0,16,1,1,0,1,0,0,0,0,0,0,38,0,0,0,0,0,1,0,0,38,11,0,0,11,9,4,0,13,5,7,7,0,0,0,0,0,12,0,0,0,0,10,0,10,0,0,0,0,31,0,2,2,15,15,0,0,0,0,35
2012-08-01,7,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,16,3,5,3,0,4,7,0,2,0,0,0,8,6,0,0,6,0,34,0,34,1,0,0,2,0,11,11,0,0,12,60,12,0,18,0,0,0,0,1,31,25,0,0,17,4,0,8,12,28,17,3,0,0,0,7,0,11,0,11,0,18,0,0,0,0,9,0,9,33,0,4,2,14,14,0,0,0,0,63
2012-09-01,18,0,0,18,0,0,0,0,0,25,0,0,11,19,0,0,37,4,6,4,0,11,11,2,0,0,0,0,9,7,0,0,17,0,30,17,26,0,0,0,22,0,0,0,13,0,14,41,27,0,0,0,0,2,0,1,39,65,0,0,8,5,0,5,16,6,26,0,4,0,0,8,0,0,0,0,0,10,0,10,10,20,0,0,20,49,0,2,2,0,16,0,0,0,0,58
2012-10-01,23,0,0,18,0,0,0,69,0,51,0,0,9,0,0,0,34,12,4,4,0,17,16,2,0,0,13,0,7,8,0,0,10,0,22,0,28,1,1,0,40,0,9,0,14,0,10,50,15,0,15,0,0,0,0,1,35,42,0,0,8,5,5,7,31,10,33,3,3,0,6,6,0,19,0,10,0,15,0,8,8,7,14,0,0,54,0,2,5,23,11,0,0,0,0,70
2012-11-01,17,0,0,16,0,0,0,0,0,36,0,0,11,0,0,0,37,10,15,5,0,16,7,3,1,0,6,6,6,9,0,0,9,0,28,11,23,0,0,0,27,0,17,0,0,0,18,36,36,0,27,0,0,0,0,1,43,23,0,0,11,6,6,15,22,5,23,0,0,0,0,11,0,34,0,0,0,34,0,0,0,20,13,0,13,58,0,0,3,42,21,0,0,0,0,73
2012-12-01,33,0,0,0,0,0,0,0,0,25,0,0,8,36,0,0,36,44,11,15,0,32,35,4,2,0,27,0,18,27,0,0,13,0,66,17,17,4,4,0,15,0,25,25,25,0,52,27,40,0,40,0,0,1,0,2,49,44,0,0,0,27,9,18,54,15,37,11,7,0,0,16,0,0,0,100,0,40,20,40,59,19,0,0,29,70,0,4,0,0,30,0,0,0,0,47
2013-01-01,100,0,0,18,0,0,0,0,0,80,0,0,50,27,0,0,95,49,16,16,0,76,98,13,1,0,66,7,73,30,0,0,25,0,94,25,19,5,3,0,64,0,56,19,37,0,20,70,60,0,91,0,0,4,0,1,49,62,0,17,34,51,20,37,78,33,97,17,11,0,0,48,0,28,0,75,0,83,15,15,75,100,0,0,64,100,0,18,6,34,57,0,0,30,0,75
