date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu and fever,flu care,flu headache,flu vs. cold,flu symptoms 2018,high fever,medicine for flu,flu treatments,cold vs flu,dog flu,fight the flu,flu a symptoms,influenza symptoms,how to treat flu,reduce fever,type a influenza,what is flu a,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,stomach flu,how long does flu last,swine flu,flu cough,contagious flu,what to do if you have the flu,flu report,signs of flu,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,tamiflu,flu map,treatment for flu,cdc flu,exposed to flu,keto flu,flu contagious,flu length,get over the flu,stomach flu symptoms,flu a and b,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature
2013-05-01,4,0,0,0,0,53,0,0,0,0,0,0,0,0,38,0,3,0,0,2,3,0,8,8,8,22,0,0,22,0,12,0,34,0,0,0,0,0,0,0,24,9,0,0,0,39,20,0,0,21,0,0,0,0,0,0,0,20,0,0,0,19,9,10,0,0,0,0,0,20,20,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,20,0,0,22,0,0,0,0,0,0,27
2013-06-01,2,0,0,51,0,0,0,0,57,0,0,0,0,0,13,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,13,0,12,0,0,0,4,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,26,0,0,0,21,0,0,10,0,0,0,0,0,0,0,21,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,23
2013-07-01,4,0,0,24,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,3,0,0,0,8,0,0,0,0,0,12,0,23,0,0,0,0,0,0,0,0,9,9,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,16
2013-08-01,3,0,23,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,9,2,0,0,8,8,0,0,0,21,0,23,0,45,0,0,0,6,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,24,0,0,19,0,0,0,19,9,0,0,0,0,0,0,29,0,0,0,16,31,0,0,5,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,52
2013-09-01,11,0,0,0,0,49,0,0,0,0,21,0,0,0,39,0,0,0,3,7,6,0,22,0,7,20,0,0,0,0,11,0,11,4,0,0,32,0,0,0,0,0,0,0,0,37,0,0,0,19,0,19,0,0,22,0,22,18,0,0,18,9,9,0,0,0,0,0,14,55,18,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,19,0,0,21,21,0,0,10,10,0,20
2013-10-01,18,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,2,0,0,8,3,0,7,7,7,0,0,0,0,0,0,0,14,0,0,0,53,0,0,0,20,7,0,0,0,33,0,0,0,0,0,0,0,0,0,0,40,0,25,0,0,32,0,8,8,0,0,13,0,58,0,0,0,27,27,0,0,4,4,0,8,0,0,0,0,0,17,0,0,0,0,0,37,9,0,0,31
2013-11-01,12,0,0,0,0,78,0,0,0,0,0,0,0,0,38,2,2,0,0,7,5,0,6,6,6,33,0,0,32,0,9,0,0,3,0,0,26,0,0,0,18,0,0,0,0,76,15,0,0,0,0,16,0,0,18,0,18,0,15,0,0,7,0,7,7,11,0,11,0,45,0,0,0,24,18,0,0,4,4,4,0,11,0,11,0,0,15,0,0,0,17,0,69,0,0,0,16
2013-12-01,14,0,0,21,0,0,0,0,0,0,0,0,0,0,48,8,0,0,0,12,8,0,14,7,7,19,0,0,0,0,25,0,10,0,0,4,13,0,0,0,0,8,8,0,0,44,0,0,0,0,0,0,18,0,21,21,0,0,35,0,18,9,8,0,9,0,0,13,0,44,18,0,0,0,42,0,0,7,4,0,4,0,0,0,0,0,0,0,35,20,0,0,0,0,0,0,10
2014-01-01,26,0,0,17,0,38,38,0,38,0,16,0,0,0,26,13,0,0,0,22,21,0,25,0,28,15,0,0,0,0,25,0,16,3,3,0,26,0,17,0,0,12,0,0,0,29,0,0,0,0,0,15,15,0,17,0,17,0,14,0,14,17,7,21,0,33,0,0,11,0,43,14,14,0,34,0,11,36,5,0,4,0,0,33,0,0,29,29,14,48,16,24,24,15,0,0,34
2014-02-01,12,0,0,20,0,0,0,0,0,0,19,0,19,0,33,8,0,0,0,11,11,0,20,7,23,36,0,0,0,0,20,0,19,7,3,3,3,0,0,20,0,0,0,0,0,17,0,0,17,0,0,18,0,20,0,0,0,0,33,0,0,49,8,12,0,19,0,0,13,34,17,0,17,27,0,0,14,15,0,4,0,0,0,19,0,0,0,0,0,19,19,19,19,9,9,0,14
