date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,flu contagious period,treating the flu,flu children,incubation period for flu,how long contagious,i have the flu,low body,treat the flu,is the flu contagious,do i have the flu,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu and fever,flu headache,flu vs. cold,flu symptoms 2018,human temperature,spanish flu,medicine for flu,flu treatments,cold vs flu,fight the flu,influenza symptoms,the flu virus,how to treat flu,cdc,type a influenza,influenza incubation period,thermoscan,how to treat the flu,how long does the flu last,fever flu,stomach flu,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,flu test,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,flu map,treatment for flu,cdc flu,taking temperature,flu shot symptoms,flu contagious,flu length,bronchitis,symptoms of bronchitis,boston flu,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature
2011-12-01,11,0,49,0,0,0,18,0,18,0,0,0,0,79,14,0,4,2,12,8,4,21,0,28,0,0,0,0,0,0,0,22,0,0,0,9,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,33,0,23,0,0,0,0,13,13,20,10,20,0,0,0,0,0,0,43,0,0,21,16,0,0,0,0,0,25,0,6,6,0,27,54,0,36,0,0,37,0,0,0,0
2012-01-01,12,0,0,0,0,0,0,0,0,0,0,53,0,57,17,4,0,0,7,10,0,27,0,17,7,0,0,0,0,14,14,28,0,3,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,31,0,46,0,0,0,0,0,13,76,9,0,0,0,0,21,0,0,20,0,0,0,0,0,0,0,24,0,0,24,0,6,0,42,34,0,0,0,0,24,0,0,0,54
2012-02-01,12,0,0,0,0,0,0,0,0,0,0,0,0,54,7,9,4,2,13,7,0,10,0,0,0,0,0,0,55,45,0,30,0,0,0,6,0,0,0,0,0,0,0,0,9,60,30,0,0,0,33,0,0,30,0,0,7,13,13,0,47,0,0,10,0,0,0,0,22,42,0,0,0,0,0,0,0,0,25,25,0,6,12,0,53,0,0,72,0,0,0,0,0,0,33
2012-03-01,4,0,0,0,0,0,0,0,0,0,0,0,0,37,4,4,0,0,9,3,0,7,0,0,0,0,0,0,0,22,0,15,0,0,4,4,0,0,0,0,0,0,0,0,0,58,0,0,0,0,32,32,0,44,0,0,0,0,0,0,39,0,10,0,0,0,0,0,0,31,21,0,0,0,0,0,0,0,0,25,0,0,6,0,20,0,0,0,35,0,0,0,0,0,40
2012-04-01,7,0,0,0,0,0,0,0,18,0,0,56,0,45,7,4,0,0,5,2,0,10,7,14,0,0,0,0,0,30,0,30,0,4,4,0,0,0,0,0,23,0,0,0,0,30,0,0,0,0,0,0,0,39,0,0,0,0,13,0,47,10,0,0,0,0,0,22,0,53,0,0,0,0,0,0,16,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,49
2012-05-01,5,0,0,0,0,0,0,0,0,0,0,0,0,33,4,4,0,0,5,3,0,7,0,21,0,0,0,54,0,29,15,58,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,32,0,50,0,0,0,0,0,0,20,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,26,0,0,0,0,0,0,0,24,0,32
2012-06-01,3,0,0,0,0,0,0,0,0,0,0,0,0,21,9,5,5,0,2,0,2,15,0,0,0,0,0,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,0,0,0,0,0,0,0,0,0,33
2012-07-01,3,0,0,0,0,0,0,0,0,0,0,0,0,24,4,4,0,0,3,3,0,7,0,7,0,0,0,0,0,30,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,24,0,0,0,0,0,0,13,0,10,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,25,0,0,0,0,23,0,0,0,0,0,0,0,0,0,32
2012-08-01,5,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,4,2,0,0,0,13,0,0,0,0,0,28,0,14,0,0,0,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,13,19,19,10,0,0,0,0,0,0,20,0,0,0,0,16,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,23,0,23,0,15
2012-09-01,9,0,47,0,0,0,0,0,18,0,0,0,0,30,0,0,4,0,3,4,0,0,0,10,0,0,0,0,0,29,15,15,0,0,0,25,0,0,0,23,0,0,0,0,0,0,0,0,29,0,0,32,0,44,0,0,0,0,13,13,13,0,19,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,25,0,6,0,0,48,0,35,0,0,0,0,0,0,0,63
