date,flu,bird flu,influenza a and b,pneumonia,flu how long,fever cough,flu and cold,the flu,flu symptoms,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,how long contagious,i have the flu,low body,is the flu contagious,flu vs cold,flu symptoms 2018,human temperature,high fever,spanish flu,cold vs flu,influenza symptoms,the flu virus,thermoscan,normal body temperature,how long does the flu last,cdc flu map,fever flu,stomach flu,how long does flu last,swine flu,flu cough,contagious flu,signs of flu,normal body,is flu contagious,ear thermometer,flu fever,symptoms of the flu,keto flu,flu contagious,bronchitis,oscillococcinum,flu medicine,body temperature
2014-12-01,33,0,0,44,30,36,0,32,13,30,65,0,0,0,42,0,0,0,0,0,0,37,0,0,40,0,0,0,0,59,28,19,0,18,0,0,0,0,0,0,28,75,0,0,18,0,0,0
2015-01-01,41,0,0,53,58,69,0,35,85,58,0,71,0,0,20,0,25,0,0,0,36,0,0,0,19,0,55,0,0,0,26,36,0,0,40,0,0,0,71,0,26,35,0,0,17,0,0,0
2015-02-01,30,0,0,77,0,0,26,24,17,0,0,0,0,26,21,51,26,0,0,0,37,0,0,0,30,0,0,0,74,0,28,38,65,36,0,54,49,97,0,0,0,0,0,54,41,46,0,0
2015-03-01,15,43,0,63,28,0,25,23,8,28,62,0,0,25,100,0,24,0,0,0,0,35,0,0,29,41,0,0,0,0,0,36,0,0,40,51,47,31,0,0,0,0,0,51,39,0,0,43
2015-04-01,17,43,0,63,0,34,100,15,8,0,0,0,0,100,40,100,49,78,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,51,0,31,0,0,0,0,0,51,34,44,0,22
2015-05-01,9,43,0,47,0,34,0,11,8,0,0,28,0,25,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
2015-06-01,9,47,0,40,31,0,0,8,9,31,0,0,0,0,0,0,27,0,0,0,0,39,0,0,0,0,0,0,78,0,0,20,0,0,0,0,0,34,0,0,0,0,0,0,18,0,0,0
2015-07-01,13,45,0,22,0,0,0,28,8,0,0,0,0,0,0,0,25,0,0,0,36,36,0,0,0,0,0,0,0,0,0,19,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,10,43,0,31,28,0,25,0,16,28,0,28,49,25,20,0,24,0,0,0,0,0,0,0,0,0,55,27,0,0,26,36,0,0,0,0,0,31,0,0,26,0,0,0,22,0,0,0
2015-09-01,9,0,0,30,0,32,0,7,8,0,0,27,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,43,42,0,0
2015-10-01,39,0,0,52,0,31,0,21,7,0,0,0,0,0,18,0,44,0,0,0,31,32,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,28,64,0,0,0,0,0,10,0,0,59
2015-11-01,22,39,0,24,0,0,0,21,11,0,0,25,45,0,18,0,44,71,0,0,0,32,0,0,0,0,0,0,0,0,24,16,0,16,0,46,43,0,0,0,24,32,0,46,20,0,0,0
2015-12-01,17,0,0,32,25,0,22,20,11,25,0,37,44,33,35,43,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,32,0,15,0,45,0,0,61,0,0,62,0,45,29,0,0,0
2016-01-01,12,0,0,34,23,0,0,12,23,23,0,23,0,20,16,0,0,0,63,0,56,0,0,57,15,0,0,22,0,0,21,14,0,0,0,0,0,0,56,0,21,28,0,0,14,0,49,17
2016-02-01,18,35,0,43,47,28,21,31,13,47,0,23,83,21,16,0,20,63,0,0,29,58,0,0,24,33,0,0,0,0,22,15,0,14,0,42,0,26,0,0,22,29,0,42,18,0,0,36
2016-03-01,17,0,0,53,67,0,0,12,22,67,0,0,0,0,16,0,19,61,61,0,27,27,0,55,15,32,0,0,0,44,0,28,48,0,0,40,37,48,55,0,0,0,0,40,35,0,0,34
2016-04-01,16,0,0,21,0,0,0,19,10,0,0,23,0,0,0,0,39,0,0,0,28,43,46,0,0,0,0,0,0,0,0,0,50,14,0,0,0,25,0,0,0,28,0,0,32,0,0,17
2016-05-01,5,0,0,68,23,27,0,19,13,23,0,23,0,20,16,0,0,0,0,0,28,28,0,0,0,0,0,22,0,0,0,29,50,0,0,0,0,25,0,0,0,28,0,0,18,0,0,18
2016-06-01,11,38,0,18,25,0,0,0,7,25,0,25,0,0,0,0,22,68,0,0,0,31,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,31,0,0,15,0,0,0
2016-07-01,2,0,0,13,0,0,0,6,7,0,0,0,0,0,0,0,20,65,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,42,0,0,0,0,0,0,0,42,9,0,0,0
2016-08-01,7,0,0,17,24,0,0,6,0,24,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,23,0,0,0,15,0,0,0,0,0,26,0,0,0,0,59,0,23,0,0,0
2016-09-01,13,0,0,77,0,0,0,6,19,0,0,22,38,0,0,0,0,0,0,0,27,0,0,0,0,0,0,21,0,0,0,14,0,0,0,0,0,24,0,0,0,0,0,0,43,0,0,34
2016-10-01,22,0,0,32,0,0,0,15,13,0,0,0,0,0,15,39,37,0,0,0,55,27,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,30,0,0,17
2016-11-01,23,0,0,39,22,26,0,20,15,22,0,0,0,0,15,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,47,13,0,0,0,0,0,0,20,0,0,0,13,0,0,0
2016-12-01,16,0,0,23,21,0,55,11,21,21,0,0,0,55,0,36,18,0,0,0,26,0,42,0,28,0,0,0,52,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,48
2017-01-01,31,30,42,44,51,49,0,46,9,51,44,20,0,18,28,0,0,56,0,0,24,25,41,0,41,29,0,20,0,0,0,39,0,12,28,54,0,22,50,0,0,0,0,54,12,0,43,0
2017-02-01,26,0,0,63,43,0,19,46,33,43,0,21,0,19,0,37,0,0,0,0,0,40,0,0,58,31,0,21,0,42,20,27,0,0,0,0,35,0,53,0,20,26,0,0,42,0,46,16
2017-03-01,19,0,0,53,0,0,0,21,8,0,0,19,0,17,14,34,25,0,0,0,0,36,0,0,33,0,0,19,0,39,36,25,0,0,0,35,0,21,0,0,36,0,0,35,57,0,0,44
2017-04-01,12,31,0,45,0,0,0,14,6,0,0,20,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,13,45,0,0,0,0,0,0,0,0,0,0,0,20,0,0,47
2017-05-01,11,31,0,26,41,0,0,22,12,41,0,20,0,36,14,35,17,0,56,0,0,25,0,50,14,0,0,0,50,0,0,13,0,0,28,0,0,0,0,0,0,25,0,0,16,0,0,15
2017-06-01,4,0,0,41,0,0,0,0,6,0,0,22,0,0,0,0,19,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
2017-07-01,8,0,0,22,0,0,0,8,9,0,0,0,0,18,28,0,17,0,0,0,25,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,20,0,0,15
2017-08-01,5,0,0,31,0,0,0,5,5,0,0,19,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,15
2017-09-01,19,29,0,28,19,0,0,8,11,19,0,18,33,16,0,0,0,0,51,0,35,23,0,0,0,0,0,0,47,0,17,0,0,0,0,33,0,0,0,0,0,23,0,33,7,0,41,29
2017-10-01,30,0,0,31,19,0,0,15,13,19,0,55,0,0,13,0,32,0,0,0,0,23,0,0,0,0,0,0,0,0,17,12,0,0,0,0,61,0,0,40,0,23,0,0,33,0,0,28
2017-11-01,20,0,0,36,40,0,0,16,19,40,0,0,34,17,27,0,34,0,0,0,24,24,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,18,24,0,0,31,0,42,30
