date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,flu in new mexico,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu care,flu headache,flu vs. cold,human temperature,high fever,spanish flu,medicine for flu,cold vs flu,influenza type a,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,walgreens flu shot,normal body temperature,how to treat the flu,how long does the flu last,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,flu map,treatment for flu,cdc flu,exposed to flu,flu contagious,flu length,bronchitis,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature
2011-12-01,9,0,0,39,0,0,0,67,0,0,0,0,0,0,0,12,4,0,0,0,13,0,0,11,0,0,0,0,0,0,0,53,0,0,19,0,0,7,0,0,0,0,0,0,0,32,98,33,0,0,0,0,0,40,0,0,0,0,21,0,0,27,0,8,8,0,23,0,0,0,39,0,0,0,0,0,0,23,0,24,0,0,0,0,19,71,0,36,0,0,36,0,0,0,35
2012-01-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7,5,0,0,12,0,0,21,0,0,52,0,0,0,0,50,0,0,0,0,0,9,0,0,0,0,0,0,0,0,45,61,0,0,0,0,0,0,0,0,0,0,0,0,20,29,0,7,7,0,0,0,0,0,18,0,0,0,33,0,0,0,22,0,22,0,0,0,36,0,0,0,0,0,0,0,0,0,50
2012-02-01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,3,0,0,15,0,0,0,0,26,26,0,0,0,0,25,0,0,18,0,0,5,0,0,0,0,0,0,0,31,31,61,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,22,0,0,0,0,28,19,19,0,33,0,33,22,0,0,0,0,0,0,24,67,0,0,33,0,0,0,0,17,59
2012-03-01,10,0,0,0,0,0,62,0,0,8,8,0,0,0,0,32,4,0,0,0,7,10,0,10,0,0,0,0,0,0,0,24,0,0,0,18,0,0,0,0,0,0,0,0,0,30,60,0,0,0,0,0,47,0,0,0,0,0,20,0,0,21,7,7,0,0,63,0,21,0,18,0,18,0,0,0,0,22,22,22,22,0,0,0,18,33,33,33,0,0,33,0,0,0,33
2012-04-01,10,0,0,37,0,0,0,0,0,8,0,0,0,0,0,37,0,3,0,0,9,11,0,0,0,0,26,0,0,0,0,0,0,0,0,36,0,5,0,0,0,37,0,0,0,30,61,30,0,0,0,0,0,0,37,0,0,0,20,0,0,26,0,7,0,0,0,0,0,0,19,0,0,0,0,66,0,22,0,0,0,0,0,0,55,67,33,0,0,67,0,0,0,0,25
2012-05-01,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,39,0,0,0,0,3,0,0,0,0,25,0,0,0,24,0,36,0,0,0,17,0,0,0,0,0,36,0,0,0,0,29,30,0,0,0,0,0,0,36,0,0,0,0,0,0,28,0,0,7,0,0,0,0,0,18,0,0,0,0,32,0,0,0,0,0,0,0,0,12,0,32,0,0,0,0,0,0,0,49
2012-06-01,3,0,0,38,0,0,0,0,0,0,0,0,0,4,0,11,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,38,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,19,19,0,0,35,0,0,0,0,0,0,0,0,0,31,0,0,0,35,0,0,0,0,0,52
2012-07-01,5,0,0,37,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,28,0,0,0,0,33,0,22,0,0,0,0,0,0,24,0,33,0,0,0,0,0,0,0,33
2012-08-01,5,0,0,71,0,0,0,60,0,8,0,0,0,0,0,24,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,24,0,0,17,0,0,4,0,0,0,0,35,0,0,0,58,29,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,10,0,20,0,0,0,26,0,0,0,0,0,0,0,0,21,0,0,0,0,12,32,0,0,0,32,0,0,0,0,16
2012-09-01,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,50,7,3,0,0,7,0,0,15,0,0,26,0,0,0,0,0,0,0,0,17,0,26,0,0,0,0,0,0,0,44,30,30,0,0,0,0,0,0,0,0,0,20,20,0,0,14,0,7,7,0,21,0,0,0,36,0,0,0,0,0,0,22,0,0,0,0,0,0,12,32,0,0,0,32,32,0,0,0,81
