date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,flu in maine,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,flu maine,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,maine cdc flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,maine cdc,flu vs. cold,flu symptoms 2018,human temperature,high fever,medicine for flu,flu treatments,cold vs flu,influenza type a,influenza symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,influenza incubation period,thermoscan,normal body temperature,how long does the flu last,fever flu,stomach flu,how long does flu last,flu cough,over the counter flu,contagious flu,what to do if you have the flu,signs of flu,over the counter flu medicine,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,flu map,treatment for flu,taking temperature,exposed to flu,keto flu,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,oscillococcinum,flu medicine,flu remedies,flu shot side effects,flu complications,treat flu,how to get rid of the flu,body temperature
2011-11-01,14,0,0,0,0,0,0,0,0,62,0,0,0,0,5,61,0,0,0,0,17,3,0,0,0,0,30,0,0,0,55,0,0,0,59,0,0,0,18,0,0,12,12,0,36,0,0,12,0,28,0,28,0,31,0,0,0,0,0,0,75,0,17,0,0,0,0,0,0,0,0,25,0,0,0,0,26,0,0,0,0,0,0,0,0,45,0,0,0,36,0,0,0,0,0,20
2011-12-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,47,0,0,0,6,11,6,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,23,0,0,0,12,0,0,0,0,30,30,0,0,0,0,36,0,0,0,33,0,0,0,0,0,0,0,0,0,26,0,39,0,25,0,0,0,0,0,0,0,52,0,9,9,0,35,0,0,0,0,100
2012-01-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,63,5,15,0,0,10,5,0,0,3,20,14,0,40,0,0,0,0,0,0,0,26,4,4,0,0,0,0,0,53,0,0,0,22,0,0,0,0,27,0,0,0,0,0,0,34,0,0,22,0,18,0,18,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,18,40,0,0,8,0,32,32,0,0,0,72
2012-02-01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,5,5,0,0,24,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,34,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,32,0,0,0,19,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,19,66,0,8,0,0,0,0,0,0,0,57
2012-03-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,5,0,0,8,5,0,0,0,0,0,0,13,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,21,0,0,11,0,0,0,0,0,27,0,0,27,0,0,0,0,0,15,52,0,17,0,17,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,17,47,0,0,8,0,0,0,0,0,0,36
2012-04-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,5,0,0,0,5,3,0,0,3,28,0,0,0,0,0,0,0,27,28,0,0,4,4,0,0,11,0,0,17,0,0,0,23,0,0,26,0,29,29,0,0,0,0,0,0,0,0,24,16,0,0,0,0,0,0,23,0,0,0,0,0,0,24,49,0,0,0,0,0,29,0,8,0,0,0,0,0,0,0,19
2012-05-01,9,0,0,78,0,0,0,0,0,0,0,0,0,0,0,48,5,0,0,0,5,3,0,0,3,0,0,13,0,0,0,0,0,0,53,0,26,0,4,0,0,21,0,0,32,0,0,0,11,0,0,50,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,22,0,0,0,24,0,0,0,0,0,0,0,0,0,48,0,8,0,0,0,33,0,0,0,55
2012-06-01,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,24,0,5,0,0,8,3,0,0,0,0,0,0,14,0,0,0,0,0,28,0,0,0,7,0,0,0,0,0,41,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,36,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,35,0,0,0,0,0,0
2012-07-01,2,0,0,39,0,0,0,0,0,0,0,0,0,0,9,27,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,32,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,34,0,15,0,0,0,0,0,0,0,0,23,0,0,0,0,24,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
2012-08-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,0,5,0,0,10,3,0,0,0,13,0,13,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,57,0,0,0,11,0,0,0,0,0,26,0,0,0,0,0,0,0,14,0,0,17,0,0,0,0,0,22,22,0,0,0,23,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,18
2012-09-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,47,0,5,0,0,10,10,0,0,0,13,0,0,13,0,48,0,0,0,26,0,0,0,16,0,0,10,11,11,47,0,0,21,0,0,0,24,0,0,0,0,0,0,0,0,33,15,15,29,15,0,0,0,0,0,0,22,0,0,0,23,23,0,23,0,0,0,0,0,0,35,0,0,0,32,0,0,0,0,0,72
2012-10-01,16,0,0,34,0,0,0,0,0,0,0,0,0,0,8,49,0,4,0,0,13,4,0,0,0,23,0,0,12,0,43,0,0,0,22,0,0,0,32,0,0,0,0,0,65,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,29,0,0,13,0,0,0,0,0,19,0,39,29,0,0,0,0,0,0,0,0,0,0,0,0,38,0,10,7,57,0,28,0,0,0,48
2012-11-01,11,0,0,35,0,0,0,0,0,0,0,0,0,0,12,51,4,5,0,0,5,5,0,0,0,36,0,0,12,0,0,0,0,0,24,0,0,0,22,0,0,0,0,10,58,0,0,10,0,0,0,0,23,0,0,0,0,30,0,0,61,0,0,14,0,0,0,0,0,0,0,61,20,0,0,0,0,0,42,0,0,0,0,0,0,50,0,7,0,30,0,30,0,0,0,66
2012-12-01,19,0,42,0,0,0,0,0,0,0,0,0,0,0,17,46,5,0,0,0,38,33,3,0,3,14,0,0,0,0,0,0,0,0,28,0,0,0,24,0,0,11,23,0,40,0,0,35,46,0,0,27,0,29,0,0,29,0,0,35,35,0,64,48,0,0,0,37,0,0,0,0,24,0,0,25,100,0,37,0,0,0,0,0,37,80,0,8,0,35,35,0,0,0,0,59
2013-01-01,78,0,39,39,0,0,0,0,0,0,0,0,0,0,25,79,20,10,0,0,78,49,0,0,13,33,27,13,27,0,98,49,0,26,26,0,0,0,65,0,0,11,11,11,48,0,0,0,11,0,0,25,0,27,41,0,0,0,0,0,100,15,30,52,15,18,0,53,0,22,0,56,22,47,0,0,47,23,69,23,0,18,0,0,53,63,0,8,8,0,0,81,0,0,0,18
2013-02-01,21,0,35,35,0,44,44,0,0,0,0,0,0,0,0,41,8,5,0,0,11,21,0,0,5,36,12,12,12,0,44,44,0,0,47,0,47,0,5,0,0,10,10,0,29,0,0,10,20,0,0,22,0,50,24,0,24,0,0,0,30,13,13,20,13,0,0,16,0,20,0,20,0,21,0,21,21,21,52,0,0,16,0,0,16,61,0,0,7,29,29,30,0,0,0,16
2013-03-01,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,7,4,0,0,6,11,0,0,4,22,0,0,11,0,40,40,0,21,43,0,0,0,0,0,0,0,0,0,26,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,12,0,31,12,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,6,6,0,0,0,0,0,0,15
2013-04-01,9,0,0,67,0,0,0,0,0,0,0,0,0,0,0,49,4,0,0,0,4,9,0,0,2,35,12,12,0,0,0,0,0,0,23,0,0,4,5,0,0,9,0,0,51,0,0,9,9,0,0,21,0,0,0,0,0,0,0,0,29,13,0,26,13,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,15,0,0,0,41,0,0,0,0,0,0,0,0,0,47
2013-05-01,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,35,4,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,23,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,0,0,0,0,0,0,0,19,0,0,0,20,30,0,0,0,0,15,0,0,0,14,0,0,0,0,28,0,0,0,0,78
2013-06-01,8,0,0,72,0,44,0,0,0,0,0,0,0,0,4,21,0,0,0,0,5,5,0,0,0,0,12,12,0,0,45,0,0,0,24,0,24,0,0,0,0,0,0,0,20,0,0,0,15,0,0,0,0,0,0,0,25,0,0,0,31,0,0,28,0,0,0,0,0,0,0,20,0,0,0,0,0,0,21,0,0,0,0,0,0,18,0,0,0,0,0,0,0,17,0,17
2013-07-01,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,4,7,0,0,0,11,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,41,0,0,0,9,0,0,0,0,23,0,0,0,0,0,0,0,0,0,13,0,0,0,15,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0
2013-08-01,8,0,0,33,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,4,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,40,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,15,0,0,0,23,0,7,0,27,0,0,0,0,0,62
2013-09-01,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,4,6,0,0,12,4,0,0,2,0,0,0,16,0,0,0,0,21,21,0,21,3,27,0,0,0,0,0,29,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,26,0,0,12,0,0,0,0,0,0,0,70,17,19,0,0,0,0,0,0,0,14,0,0,0,25,0,0,0,26,0,0,0,0,0,86
2013-10-01,22,0,0,30,0,38,0,0,0,0,0,0,0,0,11,46,4,0,0,0,16,4,0,0,0,21,0,0,0,0,38,0,0,0,61,0,0,0,45,0,0,8,0,0,29,0,0,8,9,0,0,19,0,21,0,0,0,0,0,0,0,12,12,12,12,0,0,0,0,0,0,17,0,18,0,0,18,18,18,0,0,14,0,0,0,40,0,0,0,26,26,38,0,0,0,14
2013-11-01,14,0,0,0,0,39,0,0,0,0,0,0,45,0,4,39,11,0,0,0,14,6,0,0,0,11,0,0,0,0,0,0,0,0,21,0,0,0,15,0,0,0,0,9,44,0,0,0,18,0,0,0,0,0,0,0,22,0,0,0,27,0,12,0,0,14,0,14,0,36,0,36,0,19,0,19,19,0,0,0,0,0,0,0,14,19,0,0,0,0,0,40,0,0,0,15
2013-12-01,16,0,0,30,0,0,0,0,0,0,0,0,0,0,5,44,7,4,0,0,12,6,0,0,4,10,10,0,11,0,39,0,0,0,0,0,0,3,6,0,0,8,0,0,25,0,0,17,9,0,0,20,0,22,0,0,21,0,0,0,26,12,12,29,12,0,0,0,0,0,0,18,0,18,0,19,19,0,18,18,18,0,0,0,0,16,0,0,0,0,0,26,0,0,0,57
2014-01-01,26,0,0,29,0,0,0,0,0,0,0,0,0,0,5,66,14,9,0,0,11,14,0,0,6,20,10,10,25,0,0,0,0,0,0,0,20,0,20,0,0,8,0,8,44,0,0,8,16,19,0,19,0,20,21,0,0,0,0,0,74,11,0,84,11,13,0,0,0,17,0,50,17,18,0,0,0,17,35,17,0,0,0,0,0,39,0,6,0,73,24,24,0,0,0,68
2014-02-01,17,0,0,64,0,0,0,0,0,0,0,0,45,0,4,54,7,8,0,0,21,19,0,0,2,33,0,0,22,0,0,0,0,0,0,0,21,0,7,0,0,0,18,0,31,0,0,0,18,20,0,0,0,22,0,0,22,0,0,0,55,12,0,37,12,29,0,22,0,37,0,18,18,0,0,0,0,0,19,38,0,0,0,0,22,45,0,0,6,0,27,0,0,0,0,75
2014-03-01,14,0,0,0,0,0,0,0,0,0,0,0,41,0,3,53,10,4,0,0,15,11,2,0,0,10,0,0,10,0,0,0,0,0,38,0,0,0,3,0,0,0,0,0,43,0,0,8,12,0,0,0,0,0,0,0,20,0,0,0,0,0,11,77,0,0,0,13,0,0,0,33,16,0,0,17,17,17,0,17,0,0,0,0,13,67,0,17,12,0,24,0,0,0,0,27
2014-04-01,11,0,31,0,0,38,0,38,0,0,0,0,0,0,4,39,7,8,0,0,8,8,2,0,0,16,11,0,21,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,34,0,0,0,9,0,0,0,0,32,0,0,22,0,0,0,0,23,12,29,23,14,0,14,0,0,0,18,0,0,0,0,18,0,18,0,0,0,0,0,14,56,0,6,0,0,0,0,0,0,0,29
2014-05-01,11,0,32,64,0,0,40,0,0,0,0,0,0,0,7,32,7,8,0,0,10,4,0,0,0,0,0,0,22,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,9,18,0,0,0,0,0,45,0,0,0,0,0,28,12,12,31,25,0,0,15,0,0,0,37,0,0,0,19,19,0,19,0,0,0,0,0,15,46,0,7,0,0,0,0,0,15,0,30
2014-06-01,2,0,0,0,0,0,0,0,0,54,0,0,0,0,4,33,4,0,0,0,0,3,0,0,3,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,33,0,14,15,0,0,0,0,0,0,0,22,0,0,0,0,23,0,0,0,0,17,0,0,0,27,0,0,0,0,0,0,0,0,0,18
2014-07-01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,19,0,0,0,10,0,0,0,0,0,0,0,0,0,0,30,30,0,0,14,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,7,0,0,0,0,0,0,0,0
2014-08-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,5,0,0,7,2,0,0,0,18,0,12,12,0,0,0,0,0,0,0,0,0,11,0,0,0,10,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,16,0,0,0,0,0,40,0,0,0,0,42,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,16
2014-09-01,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,19,0,0,9,0,0,42,0,0,0,9,0,0,21,0,0,0,0,0,0,0,0,29,0,0,38,0,0,0,15,0,0,0,19,19,0,0,0,0,0,0,0,0,15,0,0,15,34,0,7,0,0,0,28,0,0,0,16
2014-10-01,26,0,0,32,0,0,0,0,0,0,0,0,0,0,11,50,0,4,0,0,21,4,2,0,0,22,11,11,11,0,40,0,0,0,0,0,0,0,66,0,0,0,0,9,100,0,0,9,0,0,0,0,0,34,22,0,0,0,0,0,27,0,12,12,0,29,0,14,0,0,0,36,18,0,0,0,19,0,38,56,0,0,0,0,14,35,0,6,10,26,0,27,0,0,0,30
2014-11-01,14,0,0,0,0,44,0,0,0,0,0,0,0,0,0,67,8,0,0,5,5,7,0,0,5,0,0,0,0,0,44,0,0,0,0,0,0,0,29,0,0,0,0,0,29,0,0,20,39,22,0,0,0,25,0,0,0,0,0,0,60,13,14,27,20,0,0,16,0,0,0,40,0,21,0,0,21,0,21,21,0,0,0,0,16,39,0,7,0,0,0,0,0,0,0,33
2014-12-01,23,0,0,33,0,41,0,0,0,0,0,0,0,0,4,44,6,4,0,0,13,7,0,0,2,11,0,0,11,0,0,0,0,22,0,0,22,3,19,0,0,0,0,0,36,0,0,0,9,0,0,0,0,24,23,0,0,0,0,0,0,25,13,13,19,15,0,22,0,38,0,38,0,60,0,0,20,20,20,39,0,0,0,0,22,47,0,0,0,0,0,28,0,15,0,0
