date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,flu symptoms 2018,high fever,spanish flu,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,flu in kansas,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,food poisoning,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,free flu shots,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature
2011-11-01,17,0,0,0,0,6,0,0,1,14,0,7,0,0,0,0,28,0,19,0,0,10,0,0,9,0,0,7,0,12,0,0,12,16,0,0,16,16,0,0,2,0,0,0,0,17,17,0,0,0,0,7,7,0,47,0,7,0,53,0,27,0,34,5,21,20,0,0,20,0,0,0,52,0,29,0,0,0,0,0,0,14,0,0,20,50,5,5,5,0,0,45,23,13,0,13,47
2011-12-01,13,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,43,37,18,0,0,12,2,0,3,22,14,7,0,0,0,0,24,16,16,0,0,8,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,37,0,3,26,52,0,0,10,23,5,49,10,0,0,10,0,0,0,85,0,29,0,29,0,0,27,0,13,0,0,13,47,0,16,16,45,0,0,22,0,20,0,40
2012-01-01,15,0,50,0,0,5,0,0,0,0,0,0,0,2,0,2,33,52,52,0,0,13,3,0,4,13,0,20,0,0,11,0,28,30,0,30,0,11,0,0,2,0,6,0,0,64,16,0,0,7,0,7,7,0,41,3,0,0,49,0,0,5,39,5,29,19,9,0,0,0,16,0,57,0,27,0,27,0,0,0,13,19,0,0,25,56,0,10,5,0,0,21,0,12,0,0,69
2012-02-01,15,0,0,0,0,12,1,1,0,0,0,6,0,0,0,0,50,16,0,0,0,13,1,0,3,16,0,0,0,0,0,0,32,21,0,28,0,4,0,0,2,5,5,0,0,30,15,0,0,0,0,9,0,6,55,0,3,23,47,0,0,5,41,0,30,9,9,0,0,15,0,0,53,0,0,0,51,0,12,12,12,12,0,0,12,67,0,5,9,0,40,40,0,12,0,12,100
2012-03-01,14,50,0,0,0,15,1,0,0,0,0,0,0,0,0,2,35,17,26,0,0,10,1,0,3,7,7,10,0,0,0,0,23,30,0,15,15,6,0,0,0,6,0,0,0,16,0,0,0,7,0,34,0,6,59,3,3,0,50,0,25,5,32,5,22,9,0,9,19,24,0,0,73,0,28,0,0,0,26,0,13,13,0,0,25,44,0,5,5,21,21,21,21,0,0,0,44
2012-04-01,6,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,39,17,17,0,17,4,0,0,1,10,0,7,0,0,0,0,17,30,0,0,0,0,0,0,0,6,6,0,0,47,32,0,0,0,0,0,0,3,41,0,0,25,49,0,25,5,10,5,19,0,0,0,9,0,16,0,48,0,0,0,0,0,0,0,0,0,13,0,13,34,0,0,7,0,0,21,0,0,0,0,50
2012-05-01,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,27,0,18,0,0,3,0,0,2,21,0,7,0,0,0,0,12,32,0,0,0,2,0,0,2,6,0,0,0,51,17,0,0,0,0,11,0,3,40,0,3,0,52,0,0,10,10,0,39,0,0,0,0,0,0,0,26,0,0,0,29,0,0,0,0,0,0,0,0,42,0,5,11,0,22,0,0,0,0,0,40
2012-06-01,4,0,0,0,0,5,0,0,0,0,7,0,0,0,0,3,23,19,0,0,19,3,0,0,2,0,0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0,0,0,88,18,0,0,0,0,0,7,0,47,0,0,0,28,0,0,11,19,5,16,10,0,0,0,0,18,0,36,0,0,0,0,0,0,0,0,28,0,0,0,19,0,0,5,24,0,24,0,0,14,0,49
2012-07-01,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,18,18,0,18,3,0,0,2,0,0,7,0,0,0,0,24,32,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51,0,0,52,26,0,0,0,0,0,31,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,13,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,59
2012-08-01,4,0,0,0,0,3,0,0,3,12,0,0,0,0,0,2,25,35,26,0,0,3,0,0,1,0,0,10,0,0,0,0,23,15,0,15,0,6,0,0,0,6,0,0,0,47,0,0,0,0,0,0,0,0,54,0,0,0,25,0,25,0,5,5,24,9,0,0,0,0,0,0,24,0,0,0,0,0,0,13,0,13,0,0,0,32,0,0,0,21,21,21,0,0,0,0,50
