date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,oklahoma flu,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu type a,flu care,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,flu a symptoms,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,flu in oklahoma,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,signs of flu,over the counter flu medicine,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,tamiflu,treatment for flu,exposed to flu,flu contagious,flu length,bronchitis,stomach flu symptoms,symptoms of bronchitis,what is the flu,oscillococcinum,flu medicine,flu remedies,flu complications,signs of the flu,how to get rid of the flu,body temperature
2011-12-01,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5,8,10,0,0,9,0,0,2,13,0,7,0,8,0,0,8,0,0,18,0,11,0,0,0,0,0,6,6,42,21,0,0,0,9,9,0,0,0,0,0,9,0,9,0,18,6,0,0,17,8,8,0,12,0,0,12,0,0,0,14,0,2,6,0,0,4,0,28,0,8,0,8,0,0,0,15,0,58
2012-01-01,6,0,0,0,0,0,0,0,10,32,32,0,0,0,0,47,2,0,7,0,5,8,0,0,1,8,0,0,0,0,8,8,11,0,17,0,0,4,0,0,0,0,0,6,0,20,30,0,0,0,0,13,0,0,0,0,0,16,8,0,0,20,0,6,11,0,8,0,0,0,11,34,0,0,0,0,0,0,2,2,0,0,0,0,29,15,15,0,0,0,0,0,0,0,40
2012-02-01,11,0,0,0,0,0,0,0,0,0,64,0,0,0,0,62,6,0,7,0,0,6,0,0,2,12,0,0,0,8,0,8,27,50,0,0,0,5,0,0,0,6,12,9,6,59,69,20,0,17,0,9,13,0,44,0,0,16,8,8,8,31,6,0,11,8,0,8,8,17,11,34,0,0,0,0,13,0,2,4,0,0,3,0,59,15,0,15,0,14,0,0,0,0,39
2012-03-01,10,0,0,46,0,10,10,0,0,0,64,0,32,2,0,52,8,24,17,0,5,16,1,0,3,22,4,20,0,7,0,0,15,0,0,0,0,4,0,0,2,6,18,6,0,0,19,38,0,0,0,30,9,0,0,0,0,8,0,16,24,31,6,6,11,15,0,27,0,22,0,39,11,0,0,0,26,3,7,9,0,0,11,0,37,7,0,7,0,40,13,0,0,0,48
2012-04-01,5,0,0,0,0,11,0,0,11,0,34,0,0,0,0,39,2,10,5,0,0,5,0,0,1,4,8,8,0,0,0,0,8,68,0,0,0,2,0,0,0,0,0,0,0,21,72,20,0,9,0,0,0,0,0,22,0,25,0,0,0,9,6,6,12,0,0,0,0,0,0,35,0,0,0,0,7,0,0,0,2,0,0,0,39,0,0,0,0,14,0,0,0,0,72
2012-05-01,2,0,0,0,0,0,0,11,0,33,33,0,0,0,0,32,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,16,0,0,0,0,6,0,0,0,0,0,0,6,0,20,0,0,9,0,9,0,22,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,35,12,0,0,0,0,0,2,0,0,0,0,0,35,0,0,8,0,0,0,0,0,0,30
2012-06-01,2,0,0,52,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,8,18,0,0,0,4,0,0,0,0,0,0,0,22,54,0,0,0,0,19,0,0,0,0,0,9,0,0,9,6,0,6,0,0,0,9,0,0,0,25,0,0,0,0,0,0,0,0,0,0,4,0,11,8,8,8,0,0,0,0,0,0,11
2012-07-01,1,0,0,0,0,0,0,0,0,0,0,0,34,0,0,24,0,5,0,0,0,0,0,0,0,0,4,4,0,0,0,8,31,34,0,0,0,2,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,8,0,8,0,12,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,20,16,0,0,0,0,0,0,0,0,41
2012-08-01,4,0,0,0,0,0,0,0,0,31,0,0,0,0,0,31,2,5,7,0,0,4,0,0,1,4,4,4,0,7,0,0,7,16,0,16,0,2,0,0,0,6,0,0,0,18,46,0,0,0,0,0,0,0,0,0,0,8,0,8,0,11,0,5,11,15,0,0,0,11,11,21,0,0,0,0,0,0,0,0,0,0,0,0,29,7,0,0,0,0,0,0,13,0,55
2012-09-01,6,0,90,0,0,0,0,0,10,61,31,0,0,0,0,53,2,5,9,0,0,4,0,0,1,8,0,4,0,0,0,0,11,0,0,0,0,10,0,0,0,0,0,6,0,0,75,0,0,0,0,0,17,0,20,0,0,8,0,23,8,21,5,0,5,0,0,0,0,0,0,38,0,0,0,0,6,0,2,0,0,0,0,0,34,7,7,0,0,0,0,0,0,0,61
